全民boss索引,怪物entryId,等级（要求）,boss名字,复活消耗,怪物复活时间,能否组队,怪物列表,掉落预览,战斗经验,月卡加成系数,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,金装碎片权重,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,第一名邮件金色掉落装备,金装概率,金装碎片权重,第一名经验,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,其他名邮件金色掉落装备,金装概率,金装碎片权重,其他名次经验
index_kn,entryId_n,level_n,bossName_s,consum_t,coolDown_n,canTeam_n,monster_t,itemShow_t,fightPlrExp,cardRatio_n,suitid_n,gray_n,green_n,blue_n,purple_n,gold_t,peiece_t,firstEmailGray_t,firstEmailGreen_t,firstEmailBlue_t,firstEmailPurple_t,firstEmailGoldSuitId_t,firstEmailGold_t,firstEmailPeiece_t,firstEmailPlrExp,otherEmailGray_t,otherEmailGreen_t,otherEmailBlue_t,otherEmailPurple_t,otherEmailGoldSuitId_t,otherEmailGold_t,otherEmailPeiece_t,otherEmailPlrExp
11,106110,30,天将（30）,"{60014, 1}",60,0,"[2]=106102,[3]=106103,[4]=106104,[5]=106105,[6]=106106,[8]=106108,[9]=106109,[10]=106110,[11]=106111,[12]=106112","60061,15021,15022,",70000,0.3,103,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,10}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{2,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,10}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{1,55}",105000
12,106110,40,虾将（40）,"{60014, 1}",60,0,"[2]=106102,[3]=106103,[4]=106104,[5]=106105,[6]=106106,[8]=106108,[9]=106109,[10]=106110,[11]=106111,[12]=106112","60061,15021,15022,",70000,0.3,103,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,11}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{2,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,11}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{1,55}",105000
13,50000002,50,马面（50）,"{60014, 1}",360,0,[10]=109110,"60061,15021,15022,",70000,0.3,103,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,12}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{3,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,12}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{2,55}",105000
14,112110,60,猛虎（60）,"{60014, 1}",360,0,"[2]=112102,[3]=112103,[4]=112104,[5]=112105,[6]=112106,[8]=112108,[9]=112109,[10]=112110,[11]=112111,[12]=112112","60061,15031,15033,",70000,0.3,104,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,13}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{3,55}",163100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,13}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{2,55}",105000
15,117110,70,强匪（70）,"{60014, 1}",360,0,"[2]=117102,[3]=117103,[4]=117104,[5]=117105,[6]=117106,[8]=117108,[9]=117109,[10]=117110,[11]=117111,[12]=117112","60061,15031,15033,",90000,0.3,104,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,14}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{3,55}",209700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,14}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{2,55}",135000
16,122110,80,小贝（80）,"{60014, 1}",3600,0,"[2]=122102,[3]=122103,[4]=122104,[5]=122105,[6]=122106,[8]=122108,[9]=122109,[10]=122110,[11]=122111,[12]=122112","60061,15043,15044,",120000,0.3,105,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,15}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{4,55}",279600,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,15}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{3,55}",180000
17,130110,90,牛头（90）,"{60014, 1}",3600,0,"[2]=130102,[3]=130103,[4]=130104,[5]=130105,[6]=130106,[8]=130108,[9]=130109,[10]=130110,[11]=130111,[12]=130112","60061,15043,15044,",160000,0.3,105,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,16}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{4,55}",372800,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,16}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{3,55}",240000
18,138110,100,龟丞相（100）,"{60014, 1}",3600,0,"[2]=138102,[3]=138103,[4]=138104,[5]=138105,[6]=138106,[8]=138108,[9]=138109,[10]=138110,[11]=138111,[12]=138112","60061,15052,15056,",290000,0.3,106,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,17}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{4,55}",675700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,17}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{3,55}",435000
19,138110,106,蟹将（106）,"{60014, 1}",3600,0,"[2]=138102,[3]=138103,[4]=138104,[5]=138105,[6]=138106,[8]=138108,[9]=138109,[10]=138110,[11]=138111,[12]=138112","60061,15052,15056,",290000,0.3,106,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,18}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{5,55}",675700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,18}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{4,55}",435000
