神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,首通奖励预览,通关奖励预览
index_kn,chapter_n,entryId_n,level_n,chance_n,canTeam_n,monster_t,prize_t,firstPrize_t,starPrize_t,chapterName_s,showFirstItem_t,showPassItem_t
11,11,104610,0,1,0,"[2]=104602,[3]=104603,[4]=104604,[5]=104605,[6]=104606,[9]=104609,[10]=104610,[11]=104611","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
12,11,104710,0,1,0,"[2]=104702,[3]=104703,[4]=104704,[5]=104705,[6]=104706,[9]=104709,[10]=104710,[11]=104711","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
13,11,104810,0,1,0,"[2]=104802,[3]=104803,[4]=104804,[5]=104805,[6]=104806,[9]=104809,[10]=104810,[11]=104811","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
14,11,104910,0,1,0,"[2]=104902,[3]=104903,[4]=104904,[5]=104905,[6]=104906,[9]=104909,[10]=104910,[11]=104911","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
15,11,50000002,0,1,0,[10]=105010,"{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
16,11,105110,0,1,0,"[2]=105102,[3]=105103,[4]=105104,[5]=105105,[6]=105106,[9]=105109,[10]=105110,[11]=105111","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
17,12,50000001,0,1,0,[10]=105210,"{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图2,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
18,12,105310,0,1,0,"[2]=105302,[3]=105303,[4]=105304,[5]=105305,[6]=105306,[9]=105309,[10]=105310,[11]=105311","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图2,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
19,12,50000006,0,1,0,[10]=105410,"{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图2,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
