生死劫索引,怪物entryId,说明,等级（要求）,能否组队,宝箱,开启宝箱消耗,怪物列表,怪物列表,怪物列表,掉落库,劫索引,劫名称,几率掉落展示,宝箱奖励,首通奖励展示,领取宝箱后固定物品显示
index_kn,entryId_n,read_s,level_n,canTeam_n,box_t,bindCurrency,monster1_t,monster2_t,monster3_t,lib_t,chapterIndex_n,chapterName_s,itemShow_t,boxShow_t,firstItemShow_t,afterBoxItemShow_t
0,138910,第1劫(1),105,1,"218,219,",500,"[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=138902,[3]=138903,[4]=138904,[5]=138905,[6]=138906,[8]=138908,[9]=138909,[10]=138910,[11]=138911,[12]=138912","218,219,",1,第一劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
1,138910,第1劫(2),105,1,"218,219,",500,"[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=138902,[3]=138903,[4]=138904,[5]=138905,[6]=138906,[8]=138908,[9]=138909,[10]=138910,[11]=138911,[12]=138912","218,219,",1,第一劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
2,138910,第1劫(3),105,1,"218,219,",500,"[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=138902,[3]=138903,[4]=138904,[5]=138905,[6]=138906,[8]=138908,[9]=138909,[10]=138910,[11]=138911,[12]=138912","218,219,",1,第一劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
3,138910,第1劫(4),105,1,"218,219,",500,"[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=138902,[3]=138903,[4]=138904,[5]=138905,[6]=138906,[8]=138908,[9]=138909,[10]=138910,[11]=138911,[12]=138912","218,219,",1,第一劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
4,138910,第1劫(5),105,1,"218,219,",500,"[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=138902,[3]=138903,[4]=138904,[5]=138905,[6]=138906,[8]=138908,[9]=138909,[10]=138910,[11]=138911,[12]=138912","218,219,",1,第一劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
5,138910,第1劫(6),105,1,"218,219,",500,"[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=134302,[3]=134303,[4]=134304,[5]=134305,[6]=134306,[8]=134308,[9]=134309,[10]=134310,[11]=134311,[12]=134312","[2]=138902,[3]=138903,[4]=138904,[5]=138905,[6]=138906,[8]=138908,[9]=138909,[10]=138910,[11]=138911,[12]=138912","218,219,",1,第一劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
6,171010,第2劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",2,第二劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
7,171010,第2劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",2,第二劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
8,171010,第2劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",2,第二劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
