材料副本索引,怪物entryId,等级（要求）,免费挑战次数（每天）,vip增加次数,付费扫荡,能否组队,怪物列表,掉落,可扫荡的等级差条件,掉落预览,副本名称
index_kn,entryId_n,level_n,chance_n,vipCount_t,rmb_n,canTeam_n,monster_t,prize_t,sweepLevel,itemShow_t,title_s
11,113110,20,1,"[3]=1,[4]=4",185,0,"[2]=113102,[3]=113103,[4]=113104,[5]=113105,[6]=113106,[8]=113108,[9]=113109,[10]=113110,[11]=113111,[12]=113112,","{""item"",20001,6},{""bindRmb"",200}",40,"{""item"",20001,6},{""bindRmb"",200}",坐骑副本
12,113210,20,1,"[3]=1,[4]=4",185,0,"[2]=113202,[3]=113203,[4]=113204,[5]=113205,[6]=113206,[8]=113208,[9]=113209,[10]=113210,[11]=113211,[12]=113212,","{""item"",20013,6},{""bindRmb"",200}",40,"{""item"",20013,6},{""bindRmb"",200}",宠物副本
13,113310,20,1,"[3]=1,[4]=4",185,0,"[2]=113302,[3]=113303,[4]=113304,[5]=113305,[6]=113306,[8]=113308,[9]=113309,[10]=113310,[11]=113311,[12]=113312,","{""item"",60001,30},{""bindRmb"",200}",40,"{""item"",60001,30},{""bindRmb"",200}",精炼副本
14,113410,20,1,"[3]=1,[4]=4",185,0,"[2]=113402,[3]=113403,[4]=113404,[5]=113405,[6]=113406,[8]=113408,[9]=113409,[10]=113410,[11]=113411,[12]=113412,","{""item"",20014,6},{""bindRmb"",200}",40,"{""item"",20014,6},{""bindRmb"",200}",仙侣副本
15,113510,30,1,"[3]=1,[4]=4",185,0,"[2]=113502,[3]=113503,[4]=113504,[5]=113505,[6]=113506,[8]=113508,[9]=113509,[10]=113510,[11]=113511,[12]=113512,","{""item"",60002,6},{""bindRmb"",200}",40,"{""item"",60002,6},{""bindRmb"",200}",锻炼副本
16,113610,40,1,"[3]=1,[4]=4",185,0,"[2]=113602,[3]=113603,[4]=113604,[5]=113605,[6]=113606,[8]=113608,[9]=113609,[10]=113610,[11]=113611,[12]=113612,","{""item"",60003,6},{""bindRmb"",200}",40,"{""item"",60003,6},{""bindRmb"",200}",宝石副本
17,50000004,50,1,"[3]=1,[4]=4",185,0,"[10]=113710,","{""item"",20002,6},{""bindRmb"",200}",40,"{""item"",20002,6},{""bindRmb"",200}",天仙副本
18,113810,70,1,"[3]=1,[4]=4",185,0,"[2]=113802,[3]=113803,[4]=113804,[5]=113805,[6]=113806,[8]=113808,[9]=113809,[10]=113810,[11]=113811,[12]=113812,","{""item"",20003,6},{""bindRmb"",200}",40,"{""item"",20003,6},{""bindRmb"",200}",神兵副本
19,113910,80,1,"[3]=1,[4]=4",185,0,"[2]=113902,[3]=113903,[4]=113904,[5]=113905,[6]=113906,[8]=113908,[9]=113909,[10]=113910,[11]=113911,[12]=113912,","{""item"",20004,6},{""bindRmb"",200}",40,"{""item"",20004,6},{""bindRmb"",200}",翅膀副本
20,114010,90,1,"[3]=1,[4]=4",185,0,"[2]=114002,[3]=114003,[4]=114004,[5]=114005,[6]=114006,[8]=114008,[9]=114009,[10]=114010,[11]=114011,[12]=114012,","{""item"",20005,6},{""bindRmb"",200}",40,"{""item"",20005,6},{""bindRmb"",200}",法阵副本
21,114110,95,1,"[3]=1,[4]=4",185,0,"[2]=114102,[3]=114103,[4]=114104,[5]=114105,[6]=114106,[8]=114108,[9]=114109,[10]=114110,[11]=114111,[12]=114112,","{""item"",20006,6},{""bindRmb"",200}",40,"{""item"",20006,6},{""bindRmb"",200}",仙位副本
22,50000003,100,1,"[3]=1,[4]=4",185,0,"[10]=114210,","{""item"",20007,6},{""bindRmb"",200}",40,"{""item"",20007,6},{""bindRmb"",200}",通灵副本
23,50000006,105,1,"[3]=1,[4]=4",185,0,"[10]=114310,","{""item"",20008,6},{""bindRmb"",200}",40,"{""item"",20008,6},{""bindRmb"",200}",兽灵副本
24,114410,110,1,"[3]=1,[4]=4",185,0,"[2]=114402,[3]=114403,[4]=114404,[5]=114405,[6]=114406,[8]=114408,[9]=114409,[10]=114410,[11]=114411,[12]=114412,","{""item"",20016,1},{""bindRmb"",200}",40,"{""item"",20016,1},{""bindRmb"",200}",房屋副本
