钟馗伏魔boss索引,怪物entryId,等级（要求）,能否组队,怪物列表,掉落库,星级对应系数
index_kn,entryId_n,level_n,canTeam_n,monster_t,prize_t,star_t
11,103310,40,0,"[3]=103303,[4]=103304,[5]=103305,[9]=103309,[10]=103310,[11]=103311,","{""exp"",60000},{""funds"",21500},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
12,106110,70,0,"[2]=106102,[3]=106103,[4]=106104,[5]=106105,[6]=106106,[8]=106108,[9]=106109,[10]=106110,[11]=106111,[12]=106112","{""exp"",90000},{""funds"",24000},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
13,112010,80,0,"[2]=112002,[3]=112003,[4]=112004,[5]=112005,[6]=112006,[8]=112008,[9]=112009,[10]=112010,[11]=112011,[12]=112012","{""exp"",110000},{""funds"",26500},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
14,112110,90,0,"[2]=112102,[3]=112103,[4]=112104,[5]=112105,[6]=112106,[8]=112108,[9]=112109,[10]=112110,[11]=112111,[12]=112112","{""exp"",150000},{""funds"",29000},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
15,117110,100,0,"[2]=117102,[3]=117103,[4]=117104,[5]=117105,[6]=117106,[8]=117108,[9]=117109,[10]=117110,[11]=117111,[12]=117112","{""exp"",300000},{""funds"",31500},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
16,122110,110,0,"[2]=122102,[3]=122103,[4]=122104,[5]=122105,[6]=122106,[8]=122108,[9]=122109,[10]=122110,[11]=122111,[12]=122112","{""exp"",360000},{""funds"",34000},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
17,122110,120,0,"[2]=122102,[3]=122103,[4]=122104,[5]=122105,[6]=122106,[8]=122108,[9]=122109,[10]=122110,[11]=122111,[12]=122112","{""exp"",450000},{""funds"",36500},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
18,122110,130,0,"[2]=122102,[3]=122103,[4]=122104,[5]=122105,[6]=122106,[8]=122108,[9]=122109,[10]=122110,[11]=122111,[12]=122112","{""exp"",640000},{""funds"",39000},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
19,124810,140,0,"[2]=124802,[3]=124803,[4]=124804,[5]=124805,[6]=124806,[8]=124808,[9]=124809,[10]=124810,[11]=124811,[12]=124812","{""exp"",770000},{""funds"",41500},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
20,125210,150,0,"[2]=125202,[3]=125203,[4]=125204,[5]=125205,[6]=125206,[8]=125208,[9]=125209,[10]=125210,[11]=125211,[12]=125212","{""exp"",940000},{""funds"",44000},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
21,138110,160,0,"[2]=138102,[3]=138103,[4]=138104,[5]=138105,[6]=138106,[8]=138108,[9]=138109,[10]=138110,[11]=138111,[12]=138112","{""exp"",1110000},{""funds"",46500},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
22,139610,170,0,"[2]=139602,[3]=139603,[4]=139604,[5]=139605,[6]=139606,[8]=139608,[9]=139609,[10]=139610,[11]=139611,[12]=139612","{""exp"",1290000},{""funds"",49000},","[1]=1,[2]=1.15,[3]=1.3,[4]=1.45,[5]=1.6,[6]=1.8,[7]=2"
