索引,奖励,权重(绑元),权重(元宝),权重(元宝)开服八天内的权重,是否为稀有物品0否1是,第一使用元宝10连抽必中物品(1是0否)
index_kn,prize_t,weight1,weight2,weight3,lucky,first
1,"{""item"",40021,1}",2500,2500,2500,0,0
2,"{""item"",20001,1}",10000,10000,10000,0,0
3,"{""item"",20001,1}",250,250,250,0,0
4,"{""item"",20001,1}",300,300,300,0,0
5,"{""item"",20001,1}",13110,13110,13110,0,0
6,"{""item"",20001,1}",5875,5875,5875,0,0
7,"{""item"",20001,1}",5000,5000,5000,0,0
8,"{""item"",20001,1}",50,50,50,1,1
9,"{""commonEquip"",10001,1,4,0}",13110,13110,13110,1,0
10,"{""item"",20001,1}",1200,1200,1200,0,0
11,"{""item"",20001,1}",2200,2200,2200,0,0
12,"{""item"",20001,1}",500,500,500,0,0
