充值Id,"充值类型(1普通充值,2战争号角，3宗族资材，4星灵,5是卖将)",充值金额,返利数量,首冲赠送,获得数量,单位名称,描述：用于写入日志
RechargeId_kn,Type_n,ChargeCount_n,Rebate_n,First_n,Gain_n,title_s,Tips_s
1,1,10,0,100,100,钻石,10元
2,1,20,0,2000,2000,钻石,20元
3,1,30,0,3000,3000,钻石,30元
4,1,50,0,5000,5000,钻石,50元
5,1,100,0,10000,10000,钻石,100元
6,1,200,0,20000,20000,钻石,200元
7,1,300,0,30000,30000,钻石,300元
8,1,400,0,40000,40000,钻石,400元
9,1,500,0,50000,50000,钻石,500元
10,1,600,0,60000,60000,钻石,600元
11,1,800,0,80000,80000,钻石,800元
12,1,1000,0,100000,100000,钻石,1000元
13,1,1200,0,120000,120000,钻石,1200元
14,1,1500,0,150000,150000,钻石,1500元
15,1,1800,0,180000,180000,钻石,1800元
16,1,2000,0,200000,200000,钻石,2000元
17,1,2500,0,250000,250000,钻石,2500元
18,1,3000,0,300000,300000,钻石,3000元
1000,2,25,0,0,3000,月卡,25元
1001,3,18,0,0,2000,周卡,18元
