宠物主动技能ID,技能名字,效果
Id_kn,Name_c,effects_t
50001,忠勇兔-普攻,"{'maxHP',100}"
50002,粉红兔-普攻,"{'maxHP',100}"
50003,鲛人-普攻,"{'maxHP',100}"
50004,狐妖-普攻,"{'maxHP',100}"
50005,鱼精-普攻,"{'maxHP',100}"
50006,剑灵-普攻,"{'maxHP',100}"
50007,鲨鱼精-普攻,"{'maxHP',100}"
50008,棕熊-普攻,"{'maxHP',100}"
50009,熊精-普攻,"{'maxHP',101}"
50010,蟹精-普攻,"{'maxHP',102}"
50011,小白虎-普攻,"{'maxHP',103}"
50012,剑邪-普攻,"{'maxHP',104}"
50013,重明鸟-普攻,"{'maxHP',105}"
50014,巨灵、-普攻,"{'maxHP',106}"
50015,白熊精-普攻,"{'maxHP',107}"
50016,九尾狐-普攻,"{'maxHP',108}"
50017,龙乌-普攻,"{'maxHP',109}"
50018,晶魂-普攻,"{'maxHP',110}"
50019,麒麟-普攻,"{'maxHP',111}"
50020,黑风小妖-普攻,"{'maxHP',112}"
50021,熊猫-普攻,"{'maxHP',113}"
50022,黑水玄蛇-普攻,"{'maxHP',114}"
50023,火灵-普攻,"{'maxHP',115}"
50024,猿猴-普攻,"{'maxHP',116}"
50025,地狱三头犬-普攻,"{'maxHP',117}"
50026,星魔-普攻,"{'maxHP',118}"
50027,业魔-普攻,"{'maxHP',119}"
50028,龙象精-普攻,"{'maxHP',120}"
50029,白象精-普攻,"{'maxHP',121}"
50030,冰龙-普攻,"{'maxHP',122}"
50031,剑侠兔-普攻,"{'maxHP',123}"
50032,封蛇-普攻,"{'maxHP',124}"
50033,鬼武者-普攻,"{'maxHP',125}"
50034,黑风老妖-普攻,"{'maxHP',126}"
50035,招财猫-普攻,"{'maxHP',127}"
50036,酒仙-普攻,"{'maxHP',128}"
50037,狻猊-普攻,"{'maxHP',129}"
50038,水龙-普攻,"{'maxHP',130}"
50039,朱雀-普攻,"{'maxHP',131}"
50040,青龙-普攻,"{'maxHP',132}"
50041,白虎-普攻,"{'maxHP',133}"
50042,玄武-普攻,"{'maxHP',134}"
50043,猪刚鬣-普攻,"{'maxHP',135}"
50044,虎力大仙-普攻,"{'maxHP',136}"
50045,蓝巨人-普攻,"{'maxHP',137}"
50046,狮驼-普攻,"{'maxHP',138}"
50047,鹿力大仙-普攻,"{'maxHP',139}"
