ID,名字,激活道具ID,激活道具数量,技能id,仙侣初始属性,宠物头像,宠物模型,头像款的颜色
Id_kn,name_s,itemid_n,itemnum_n,skilllist_n,effects_t,icon,model_n,quality_n
17001,圣灵蝶,50011,1,40001,"{'maxhp',7840},{'demage',3136},{'hujia',784}",17001,17001,5
17002,桃花仙子,50012,1,40002,"{'maxhp',1280},{'demage',512},{'hujia',128}",17002,17002,3
17003,兵魂,50013,1,40003,"{'maxhp',3800},{'demage',1520},{'hujia',380}",17003,17003,4
17004,龙象精,50014,1,40004,"{'maxhp',4360},{'demage',1744},{'hujia',436}",17004,17004,4
17005,白象精,50015,1,40005,"{'maxhp',6920},{'demage',2768},{'hujia',692}",17005,17005,5
17006,魔星,50016,1,40006,"{'maxhp',8680},{'demage',3472},{'hujia',868}",17006,17006,5
17007,熊精,50017,1,40007,"{'maxhp',15080},{'demage',6032},{'hujia',1508}",17007,17007,5
17008,猪刚鬣,50018,1,40008,"{'maxhp',19640},{'demage',7856},{'hujia',1964}",17008,17008,6
17009,业魔,50019,1,40009,"{'maxhp',22880},{'demage',9152},{'hujia',2288}",17009,17009,6
17010,鬼武者,50020,1,40010,"{'maxhp',34880},{'demage',13952},{'hujia',3488}",17010,17010,6
