名字,升级阶段需要的武器等级,第几阶,每次升级加多少属性,,,,相关信息说明
name_ks,needLevel_kn,classType_n,effects_t,,,,explain
qianghua,0,0,"{'maxhp',1240},{'demage',95}",,,,
qianghua,10,1,"{'maxhp',1240},{'demage',96}",,,,
qianghua,20,2,"{'maxhp',1240},{'demage',97}",,,,
qianghua,30,3,"{'maxhp',1240},{'demage',98}",,,,
qianghua,40,4,"{'maxhp',1240},{'demage',99}",,,,
qianghua,50,5,"{'maxhp',1240},{'demage',100}",,,,
qianghua,60,6,"{'maxhp',1240},{'demage',101}",,,,
qianghua,70,7,"{'maxhp',1240},{'demage',102}",,,,
qianghua,80,8,"{'maxhp',1240},{'demage',103}",,,,
qianghua,90,9,"{'maxhp',1240},{'demage',104}",,,,
qianghua,100,10,"{'maxhp',1240},{'demage',105}",,,,
qianghua,110,11,"{'maxhp',1240},{'demage',106}",,,,
qianghua,120,12,"{'maxhp',1240},{'demage',107}",,,,
jinglian,0,0,"{'maxhp',1240},{'demage',108}",,,,
jinglian,10,10,"{'maxhp',1240},{'demage',109}",,,,
jinglian,20,20,"{'maxhp',1240},{'demage',110}",,,,
jinglian,30,30,"{'maxhp',1240},{'demage',111}",,,,
jinglian,40,40,"{'maxhp',1240},{'demage',112}",,,,
jinglian,50,50,"{'maxhp',1240},{'demage',113}",,,,
jinglian,60,60,"{'maxhp',1240},{'demage',114}",,,,
jinglian,70,70,"{'maxhp',1240},{'demage',115}",,,,
jinglian,80,80,"{'maxhp',1240},{'demage',116}",,,,
jinglian,90,90,"{'maxhp',1240},{'demage',117}",,,,
jinglian,100,100,"{'maxhp',1240},{'demage',118}",,,,
jinglian,110,110,"{'maxhp',1240},{'demage',119}",,,,
jinglian,120,120,"{'maxhp',1240},{'demage',120}",,,,
duanlian,0,0,"{'maxhp',1240},{'demage',121}",,,,
duanlian,10,10,"{'maxhp',1240},{'demage',122}",,,,
duanlian,20,20,"{'maxhp',1240},{'demage',123}",,,,
duanlian,30,30,"{'maxhp',1240},{'demage',124}",,,,
duanlian,40,40,"{'maxhp',1240},{'demage',125}",,,,
duanlian,50,50,"{'maxhp',1240},{'demage',126}",,,,
duanlian,60,60,"{'maxhp',1240},{'demage',127}",,,,
duanlian,70,70,"{'maxhp',1240},{'demage',128}",,,,
baoshi,0,0,"{'maxhp',1240},{'demage',129}",,,,
baoshi,15,1,"{'maxhp',1240},{'demage',130}",,,,
baoshi,30,2,"{'maxhp',1240},{'demage',131}",,,,
baoshi,45,3,"{'maxhp',1240},{'demage',132}",,,,
baoshi,60,4,"{'maxhp',1240},{'demage',133}",,,,
