名字,位置索引,每个位置的技能ID,解锁等级,需要什么物品,解锁加多少属性,每升一级加多少属性,技能名字
Name_ks,Index_kn,SkillId_n,UnlockLevel_n,itemid_n,effects_t,addeffects_t,skillName_s
HeroRide,1,20001,2,30001,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",坐骑技能1
HeroRide,2,20002,3,30001,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",坐骑技能2
HeroRide,3,20003,5,30001,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",坐骑技能3
HeroRide,4,20004,7,30001,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",坐骑技能4
HeroWing,1,20005,2,30002,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",翅膀技能1
HeroWing,2,20006,3,30002,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",翅膀技能2
HeroWing,3,20007,5,30002,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",翅膀技能3
HeroWing,4,20008,7,30002,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",翅膀技能4
PetTongLin,1,20009,2,30005,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",通灵技能1
PetTongLin,2,20010,3,30005,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",通灵技能2
PetTongLin,3,20011,5,30005,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",通灵技能3
PetTongLin,4,20012,7,30005,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",通灵技能4
PetSouHun,1,20013,2,30006,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",兽魂技能1
PetSouHun,2,20014,3,30006,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",兽魂技能2
PetSouHun,3,20015,5,30006,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",兽魂技能3
PetSouHun,4,20016,7,30006,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",兽魂技能4
XianLvFaZhen,1,20017,2,30003,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",法阵技能1
XianLvFaZhen,2,20018,3,30003,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",法阵技能2
XianLvFaZhen,3,20019,5,30003,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",法阵技能3
XianLvFaZhen,4,20020,7,30003,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",法阵技能4
XianLvXianWei,1,20021,2,30004,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",仙位技能1
XianLvXianWei,2,20022,3,30004,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",仙位技能2
XianLvXianWei,3,20023,5,30004,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",仙位技能3
XianLvXianWei,4,20024,7,30004,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",仙位技能4
TianXian,1,20025,2,30007,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",天仙技能1
TianXian,2,20026,3,30007,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",天仙技能2
TianXian,3,20027,5,30007,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",天仙技能3
TianXian,4,20028,7,30007,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",天仙技能4
TianXianWeapon,1,20029,2,30008,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",神兵技能1
TianXianWeapon,2,20030,3,30008,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",神兵技能2
TianXianWeapon,3,20031,5,30008,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",神兵技能3
TianXianWeapon,4,20032,7,30008,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",神兵技能4
TianNv,1,20033,2,30009,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",天女技能
TianNvXianQi,1,20034,2,30010,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",仙器技能
TianNvHuaNian,1,20035,2,30011,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",花辇技能
TianNvLingQi,1,20036,2,30012,"{'maxhp',4000},{'demage',300}","{'maxhp',40},{'demage',30}",灵气技能
