名字,位置索引,皮肤ID,需要什么物品,需要多少个,每一级加多少属性,模型名字
Name_ks,Index_kn,skin_n,itemid_n,itemnum_n,effects_t,nameStr_s
HeroRide,1,30005,64001,1,"{'maxhp',11320},{'demage',4528},{'hujia',1132}",神秘羊驼
HeroRide,2,30006,64002,1,"{'maxhp',12800},{'demage',5120},{'hujia',1280}",寒霜巨龙
HeroRide,3,30007,64003,1,"{'maxhp',22520},{'demage',9008},{'hujia',2252}",魔焰蛮牛
HeroRide,4,30002,64004,1,"{'maxhp',9240},{'demage',3696},{'hujia',924}",破风羽毛
HeroRide,5,30001,64005,1,"{'maxhp',7320},{'demage',2928},{'hujia',732}",灵活小猫
HeroRide,6,30003,64006,1,"{'maxhp',11200},{'demage',4480},{'hujia',1120}",翻海金鱼
HeroRide,7,30007,64007,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",古老龙舟
HeroWing,1,40001,66001,1,"{'maxhp',7000},{'demage',2800},{'hujia',700}",堕天之翼
HeroWing,2,40002,66002,1,"{'maxhp',12600},{'demage',5040},{'hujia',1260}",梦蝶之翼
HeroWing,3,40003,66003,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",西游祥云
TianXian,1,50001,67001,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",萌龙小呆
TianXian,2,50002,67002,1,"{'maxhp',5200},{'demage',2080},{'hujia',520}",化蝶寻仙
TianXian,3,50003,67003,1,"{'maxhp',7240},{'demage',2896},{'hujia',724}",烈火凤凰
TianXian,4,50004,67004,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",飞天葫芦
TianXian,5,50005,67005,1,"{'maxhp',1800},{'demage',720},{'hujia',180}",百花仙子
TianXian,6,50006,67006,1,"{'maxhp',1800},{'demage',720},{'hujia',180}",天线宝宝
TianXian,7,50007,67007,1,"{'maxhp',1800},{'demage',720},{'hujia',180}",天宫玉兔
TianXian,8,50008,67008,1,"{'maxhp',4600},{'demage',1840},{'hujia',460}",碧元星君
