任务类型,说明,帮派等级,每次完成奖励,所有完成奖励,任务次数上限,重置(绑定元宝),一键完成(元宝)
taskType_kn,name_s,level_kn,prize_t,prizeAll_t,maxCount_n,resetMoney,finishMoney_n
1,帮会采集,1,,"{""exp"",300000},{""facContribute"",50},{""item"",60020,1}",30,480,180
1,帮会采集,2,,"{""exp"",510000},{""facContribute"",50},{""item"",60020,1}",30,480,180
1,帮会采集,3,,"{""exp"",1200000},{""facContribute"",50},{""item"",60020,1}",30,480,180
1,帮会采集,4,,"{""exp"",2150000},{""facContribute"",60},{""item"",60021,1}",30,480,180
1,帮会采集,5,,"{""exp"",3140000},{""facContribute"",60},{""item"",60021,1}",30,480,180
1,帮会采集,6,,"{""exp"",4300000},{""facContribute"",70},{""item"",60022,1}",30,480,180
1,帮会采集,7,,"{""exp"",5540000},{""facContribute"",70},{""item"",60022,1}",30,480,180
1,帮会采集,8,,"{""exp"",6877000},{""facContribute"",80},{""item"",60023,1}",30,480,180
1,帮会采集,9,,"{""exp"",8300000},{""facContribute"",80},{""item"",60023,1}",30,480,180
1,帮会采集,10,,"{""exp"",9890000},{""facContribute"",90},{""item"",60024,1}",30,480,180
2,帮会小怪,1,,"{""exp"",300000},{""facContribute"",50},{""item"",60020,1}",20,480,180
2,帮会小怪,2,,"{""exp"",510000},{""facContribute"",50},{""item"",60020,1}",20,480,180
2,帮会小怪,3,,"{""exp"",1200000},{""facContribute"",50},{""item"",60020,1}",20,480,180
2,帮会小怪,4,,"{""exp"",2150000},{""facContribute"",60},{""item"",60021,1}",20,480,180
2,帮会小怪,5,,"{""exp"",3140000},{""facContribute"",60},{""item"",60021,1}",20,480,180
2,帮会小怪,6,,"{""exp"",4300000},{""facContribute"",70},{""item"",60022,1}",20,480,180
2,帮会小怪,7,,"{""exp"",5540000},{""facContribute"",70},{""item"",60022,1}",20,480,180
2,帮会小怪,8,,"{""exp"",6877000},{""facContribute"",80},{""item"",60023,1}",20,480,180
2,帮会小怪,9,,"{""exp"",8300000},{""facContribute"",80},{""item"",60023,1}",20,480,180
2,帮会小怪,10,,"{""exp"",9890000},{""facContribute"",90},{""item"",60024,1}",20,480,180
