物品Id,使用类型,使用说明,需要数量,产物
entryId_kn,uType_kn,read_c,count,product
50000,1,,20,40168
50000,2,,1,40167
91001,1,,20,40218
91001,2,,1,40150
91002,1,,20,40219
91002,2,,1,40161
91003,1,,20,40177
91003,2,,1,40174
91004,1,,20,40062
91004,2,,1,40115
91005,1,,20,40064
91005,2,,1,40116
91006,1,,20,40063
91006,2,,1,40117
91007,1,,20,40058
91007,2,,1,40118
91008,1,,20,40133
91008,2,,1,40119
91009,1,,20,40132
91009,2,,1,40120
91010,1,,20,40068
91010,2,,1,40148
91011,1,,20,40065
91011,2,,1,40103
91012,1,,20,40256
91012,2,,1,40113
91013,2,,1,40129
91014,2,,1,40086
91015,2,,1,40087
91016,2,,1,40088
91017,2,,1,40089
91018,2,,1,40090
91019,2,,1,40091
91020,2,,1,40092
91021,2,,1,40093
91022,1,,20,40379
91022,2,,1,40094
91023,1,,20,40380
91023,2,,1,40095
91024,1,,20,40381
91024,2,,1,40096
91025,1,,20,40382
91025,2,,1,40097
91026,1,,20,40383
91026,2,,1,40098
91027,1,,20,40384
91027,2,,1,40099
91028,1,,20,40385
91028,2,,1,40100
91029,1,,20,40386
91029,2,,1,40101
91030,1,,20,40387
91030,2,,1,40102
91031,1,,20,40248
91031,2,,1,40104
91032,1,,20,40249
91032,2,,1,40105
91033,1,,20,40250
91033,2,,1,40106
91034,1,,20,40175
91034,2,,1,40107
91035,1,,20,40251
91035,2,,1,40108
91036,1,,20,40252
91036,2,,1,40109
91037,1,,20,40253
91037,2,,1,40110
91038,1,,20,40254
91038,2,,1,40111
91039,1,,20,40255
91039,2,,1,40112
91040,1,,20,40183
91040,2,,1,40182
91041,1,,20,40193
91041,2,,1,40192
91042,1,,20,40220
91042,2,,1,40221
91043,1,,20,40224
91043,2,,1,40225
91044,1,,20,40240
91044,2,,1,40241
91045,1,,20,40242
91045,2,,1,40243
91046,1,,20,40257
91046,2,,1,40258
91047,1,,20,40264
91047,2,,1,40265
91048,1,,20,40267
91048,2,,1,40268
91049,1,,20,40275
91049,2,,1,40276
91050,1,,20,40303
91050,2,,1,40304
91051,1,,20,40316
91051,2,,1,40317
91052,1,,20,40319
91052,2,,1,40320
91053,1,,20,40321
91053,2,,1,40322
91054,1,,20,40324
91054,2,,1,40325
91055,1,,20,40333
91055,2,,1,40334
91056,1,,20,40343
91056,2,,1,40344
91057,1,,20,40352
91057,2,,1,40353
91058,1,,20,40354
91058,2,,1,40355
91059,1,,20,40362
91059,2,,1,40363
91060,1,,20,40364
91060,2,,1,40365
91061,1,,20,40375
91061,2,,1,40376
91062,1,,20,40388
91062,2,,1,40389
91063,1,,20,40390
91063,2,,1,40391
91064,1,,20,40393
91064,2,,1,40394
91065,1,,20,40403
91065,2,,1,40404
91066,1,,20,40407
91066,2,,1,40408
91067,1,,20,40411
91067,2,,1,40412
91068,1,,20,40416
91068,2,,1,40417
91069,1,,20,40419
91069,2,,1,40420
91070,1,,20,40424
91070,2,,1,40425
91071,1,,20,40434
91071,2,,1,40435
91072,1,,20,40442
91072,2,,1,40443
91073,1,,20,40444
91073,2,,1,40445
91074,1,,20,40448
91074,2,,1,40449
91075,1,,20,40454
91075,2,,1,40455
91076,1,,20,40457
91076,2,,1,40458
91077,1,,20,40464
91077,2,,1,40465
91078,1,,20,40474
91078,2,,1,40475
91079,1,,20,40501
91079,2,,1,40502
91080,1,,20,40513
91080,2,,1,40514
91081,1,,20,40527
91081,2,,1,40528
