套装id,子类型,扣除物品的id,碎片,银两
Id_kn,subtype_kn,entryId,fragment_n,funds_n
105,201,60007,30,250000
106,201,60007,50,400000
107,201,60007,80,550000
108,201,60007,110,700000
109,201,60007,140,850000
110,201,60007,170,1000000
111,201,60007,210,1150000
112,201,60007,270,1300000
105,202,60007,30,250000
106,202,60007,50,400000
107,202,60007,80,550000
108,202,60007,110,700000
109,202,60007,140,850000
110,202,60007,170,1000000
111,202,60007,210,1150000
112,202,60007,270,1300000
105,203,60007,30,250000
106,203,60007,50,400000
107,203,60007,80,550000
108,203,60007,110,700000
109,203,60007,140,850000
110,203,60007,170,1000000
111,203,60007,210,1150000
112,203,60007,270,1300000
105,204,60008,30,250000
106,204,60009,50,400000
107,204,60010,80,550000
108,204,60011,110,700000
109,204,60012,140,850000
110,204,60013,170,1000000
111,204,60014,210,1150000
112,204,60015,270,1300000
105,205,60016,30,250000
106,205,60017,50,400000
107,205,60018,80,550000
108,205,60019,110,700000
109,205,60020,140,850000
110,205,60021,170,1000000
111,205,60022,210,1150000
112,205,60023,270,1300000
105,206,60024,30,250000
106,206,60025,50,400000
107,206,60026,80,550000
108,206,60027,110,700000
109,206,60028,140,850000
110,206,60029,170,1000000
111,206,60030,210,1150000
112,206,60031,270,1300000
105,207,60032,30,250000
106,207,60033,50,400000
107,207,60034,80,550000
108,207,60035,110,700000
109,207,60036,140,850000
110,207,60037,170,1000000
111,207,60038,210,1150000
112,207,60039,270,1300000
105,208,60040,30,250000
106,208,60041,50,400000
107,208,60042,80,550000
108,208,60043,110,700000
109,208,60044,140,850000
110,208,60045,170,1000000
111,208,60046,210,1150000
112,208,60047,270,1300000
105,209,60048,30,250000
106,209,60049,50,400000
107,209,60050,80,550000
108,209,60051,110,700000
109,209,60052,140,850000
110,209,60053,170,1000000
111,209,60054,210,1150000
112,209,60055,270,1300000
105,210,60056,30,250000
106,210,60057,50,400000
107,210,60058,80,550000
108,210,60059,110,700000
109,210,60060,140,850000
110,210,60061,170,1000000
111,210,60062,210,1150000
112,210,60063,270,1300000
