#entryId,名字,缩放,镜像,骨骼操作,模型名,换装,二进制加载
entryId_kn,name_c,scale_n,mirror_b,boneOperation_t1,modelpath_s,show_s,dbbin_n
9901,历练法宝01,,,,data/sprite/liLian/fabao01,,
9902,历练法宝02,,,,data/sprite/liLian/fabao02,,
9903,历练法宝03,,,,data/sprite/liLian/fabao03,,
9904,历练法宝04,,,,data/sprite/liLian/fabao04,,
9905,历练法宝05,,,,data/sprite/liLian/fabao05,,
9906,历练法宝06,,,,data/sprite/liLian/fabao06,,
9907,历练法宝07,,,,data/sprite/liLian/fabao07,,
9908,历练法宝08,,,,data/sprite/liLian/fabao08,,
9909,历练法宝09,,,,data/sprite/liLian/fabao09,,
9910,历练法宝10,,,,data/sprite/liLian/fabao10,,
11001,天仙1阶,,,,data/sprite/tianXian/tianXian01,,
11002,,,,,data/sprite/tianXian/tianXian01,,
11003,,,,,data/sprite/tianXian/tianXian01,,
11004,,,,,data/sprite/tianXian/tianXian01,,
11005,,,,,data/sprite/tianXian/tianXian01,,
11006,,,,,data/sprite/tianXian/tianXian01,,
11007,,,,,data/sprite/tianXian/tianXian01,,
11008,,,,,data/sprite/tianXian/tianXian01,,
11009,,,,,data/sprite/tianXian/tianXian01,,
11010,,,,,data/sprite/tianXian/tianXian01,,
11011,,,,,data/sprite/tianXian/tianXian01,,
11012,,,,,data/sprite/tianXian/tianXian01,,
11013,,,,,data/sprite/tianXian/tianXian01,,
11014,,,,,data/sprite/tianXian/tianXian01,,
11015,,,,,data/sprite/tianXian/tianXian01,,
11016,,,,,,,
11017,,,,,,,
11018,,,,,,,
11019,,,,,,,
12001,神武男初始武器,,,,data/sprite/weapon/ShengWuNanWuQi,,
12002,神武女初始武器,,,,data/sprite/weapon/ShengWuNvQiCheng-WuQi,,
12003,逍遥男初始武器,,,,data/sprite/weapon/XiaoYaoNanQiCheng-WuQi,,
12004,逍遥女初始武器,,,,data/sprite/weapon/XiaoYaoNvQiCheng-WuQi,,
12005,心魔男初始武器,,,,data/sprite/weapon/XinMoNanQiCheng-WuQi,,
12006,心魔女初始武器,,,,data/sprite/weapon/XinMoNvQiCheng-WuQi,,
13001,翅膀1阶,,,,data/sprite/chiBang/chiBang01,,
13002,翅膀2阶,,,,data/sprite/chiBang/chiBang02,,
13003,翅膀3阶,,,,data/sprite/chiBang/chiBang03,,
13004,翅膀4阶,,,,data/sprite/chiBang/chiBang04,,
13005,翅膀5阶,,,,data/sprite/chiBang/chiBang05,,
13006,翅膀6阶,,,,data/sprite/chiBang/chiBang06,,
13007,翅膀7阶,,,,data/sprite/chiBang/chiBang07,,
13008,翅膀皮肤1,,,,data/sprite/chiBang/chiBang08,,
13009,翅膀9阶,,,,data/sprite/chiBang/chiBang09,,
13010,翅膀10阶,,,,data/sprite/chiBang/chiBang10,,
