模型,名称,攻击范围（填格子数）,身位框（填格子数）,（1，女的；2，男生）
Id_kn,Name_s,AttackScope_n,BodyScope_n,sex_n
11001,天仙1阶,10,3,2
17001,圣灵碟,15,3,1
17002,桃花仙子,10,3,2
20001,鲛人,10,3,2
20002,剑侠兔,10,3,1
20003,剑邪,15,3,2
20004,重明鸟,10,3,2
20005,月光蝶,15,3,2
20006,剑齿虎,10,3,2
20007,九尾狐,10,3,1
20008,地域三头犬,15,3,1
20009,白熊精,15,3,2
20010,黑水玄蛇,10,3,2
20011,忠勇兔,15,3,1
900001,神武男,10,3,2
900002,神武女,15,3,2
900003,心魔男,10,3,2
900004,心魔女,15,3,2
900005,逍遥男,10,3,2
900006,逍遥女,10,3,2
100001,小乌龟,10,3,1
100002,强盗,15,3,1
100003,小骷髅,15,3,1
100004,跳跳鼠,10,3,1
100005,蚌精,15,3,2
100006,蛮牛,10,3,2
100007,石狮,15,3,1
100008,白熊精,15,3,2
100009,异面怪,10,3,2
100010,蝶精灵,15,3,2
100011,寒霜狼,10,3,2
100012,剑魂,10,3,1
100013,古树精,10,3,2
100014,林妖,10,3,2
100015,麟鹿,10,3,2
100016,冰火螳螂,10,3,2
100017,炎魔,15,3,1
100018,邪毒蜂,15,3,1
100019,小僵尸,15,3,1
100020,瞌睡蛇,15,3,2
100021,五毒蝎,15,3,1
100022,巫龟,15,3,2
100023,灵猴,15,3,2
100024,石巨人,10,3,2
100025,魔爪花,10,3,2
100026,木鱼怪,15,3,2
100027,硬壳龟,15,3,2
100028,利刃猿,15,3,2
100029,山精,10,3,1
100030,宠物剑邪,10,3,1
100031,上官清,15,3,2
100032,逸琼玄女,10,3,1
100033,玉冥真人,10,3,1
100034,云中子,15,3,1
100035,地域三头犬,15,3,1
100036,靡籁,15,3,1
100037,混沌,15,3,1
100038,穷奇,15,3,1
100039,深渊之龙,10,3,1
100040,魅,15,3,1
100041,魑,10,3,1
