#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
2001,长安城1_1,10001,桤木西,通关长安城1_1,通关长安城1_1,,主线,1,,,与%s对话,与%s对话,
2003,长安城1_4,10001,桤木西,通关长安城1_4,通关长安城1_4,,主线,1,,,与%s对话,与%s对话,
2005,长安城1_7,10001,桤木西,通关长安城1_7,通关长安城1_7,,主线,1,,,与%s对话,与%s对话,
2007,长安城1_10,10001,桤木西,通关长安城1_10,通关长安城1_10,,主线,1,,,与%s对话,与%s对话,
2009,长安城2_1,10001,桤木西,通关长安城2_1,通关长安城2_1,,主线,1,,,与%s对话,与%s对话,
2011,长安城2_4,10001,桤木西,通关长安城2_4,通关长安城2_4,,主线,1,,,与%s对话,与%s对话,
2013,长安城2_7,10001,桤木西,通关长安城2_7,通关长安城2_7,,主线,1,,,与%s对话,与%s对话,
2015,长安城2_10,10001,桤木西,通关长安城2_10,通关长安城2_10,,主线,1,,,与%s对话,与%s对话,
2017,长安城3_1,10001,桤木西,通关长安城3_1,通关长安城3_1,,主线,1,,,与%s对话,与%s对话,
2019,长安城3_4,10001,桤木西,通关长安城3_4,通关长安城3_4,,主线,1,,,与%s对话,与%s对话,
2021,长安城3_7,10001,桤木西,通关长安城3_7,通关长安城3_7,,主线,1,,,与%s对话,与%s对话,
2023,长安城3_10,10001,桤木西,通关长安城3_10,通关长安城3_10,,主线,1,,,与%s对话,与%s对话,
2025,前往五指山,10001,桤木西,完成前往五指山,完成前往五指山,,主线,1,,,与%s对话,与%s对话,
2027,五指山1_1,10001,桤木西,通关五指山1_1,通关五指山1_1,,主线,1,,,与%s对话,与%s对话,
2029,五指山1_4,10001,桤木西,通关五指山1_4,通关五指山1_4,,主线,1,,,与%s对话,与%s对话,
2031,五指山1_7,10001,桤木西,通关五指山1_7,通关五指山1_7,,主线,1,,,与%s对话,与%s对话,
2033,五指山1_10,10001,桤木西,通关五指山1_10,通关五指山1_10,,主线,1,,,与%s对话,与%s对话,
2035,五指山2_1,10001,桤木西,通关五指山2_1,通关五指山2_1,,主线,1,,,与%s对话,与%s对话,
2037,五指山2_4,10001,桤木西,通关五指山2_4,通关五指山2_4,,主线,1,,,与%s对话,与%s对话,
2039,五指山2_7,10001,桤木西,通关五指山2_7,通关五指山2_7,,主线,1,,,与%s对话,与%s对话,
2041,五指山2_10,10001,桤木西,通关五指山2_10,通关五指山2_10,,主线,1,,,与%s对话,与%s对话,
2043,五指山3_1,10001,桤木西,通关五指山3_1,通关五指山3_1,,主线,1,,,与%s对话,与%s对话,
2045,五指山3_4,10001,桤木西,通关五指山3_4,通关五指山3_4,,主线,1,,,与%s对话,与%s对话,
2047,五指山3_7,10001,桤木西,通关五指山3_7,通关五指山3_7,,主线,1,,,与%s对话,与%s对话,
2049,五指山3_10,10001,桤木西,通关五指山3_10,通关五指山3_10,,主线,1,,,与%s对话,与%s对话,
2051,前往高老庄,10001,桤木西,完成前往高老庄,完成前往高老庄,,主线,1,,,与%s对话,与%s对话,
