vip等级,索引,说明,参数
vipLevel_kn,index_ks,read_c,param_t
0,vipTitle,VIP标识,0
1,vipTitle,VIP标识,1
2,vipTitle,VIP标识,2
3,vipTitle,VIP标识,3
4,vipTitle,VIP标识,4
5,vipTitle,VIP标识,5
6,vipTitle,VIP标识,6
7,vipTitle,VIP标识,7
8,vipTitle,VIP标识,8
9,vipTitle,VIP标识,9
10,vipTitle,VIP标识,10
11,vipTitle,VIP标识,11
12,vipTitle,VIP标识,12
13,vipTitle,VIP标识,13
14,vipTitle,VIP标识,14
15,vipTitle,VIP标识,15
16,vipTitle,VIP标识,16
0,chatBubble,聊天气泡,"""hy_duiHuaDi01"","""""
1,chatBubble,聊天气泡,"""hy_VIPduiHuaDi04"",""hy_VIPduiHua04"""
2,chatBubble,聊天气泡,"""hy_VIPduiHuaDi04"",""hy_VIPduiHua04"""
3,chatBubble,聊天气泡,"""hy_VIPduiHuaDi01"",""hy_VIPduiHua01"""
4,chatBubble,聊天气泡,"""hy_VIPduiHuaDi01"",""hy_VIPduiHua01"""
5,chatBubble,聊天气泡,"""hy_VIPduiHuaDi05"",""hy_VIPduiHua05"""
6,chatBubble,聊天气泡,"""hy_VIPduiHuaDi05"",""hy_VIPduiHua05"""
7,chatBubble,聊天气泡,"""hy_VIPduiHuaDi05"",""hy_VIPduiHua05"""
8,chatBubble,聊天气泡,"""hy_VIPduiHuaDi02"",""hy_VIPduiHua02"""
9,chatBubble,聊天气泡,"""hy_VIPduiHuaDi02"",""hy_VIPduiHua02"""
10,chatBubble,聊天气泡,"""hy_VIPduiHuaDi02"",""hy_duiHuaDi01"""
11,chatBubble,聊天气泡,"""hy_VIPduiHuaDi02"",""hy_duiHuaDi01"""
12,chatBubble,聊天气泡,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
13,chatBubble,聊天气泡,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
14,chatBubble,聊天气泡,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
15,chatBubble,聊天气泡,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
16,chatBubble,聊天气泡,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
0,interactCount,互动次数,0
1,interactCount,互动次数,0
2,interactCount,互动次数,0
3,interactCount,互动次数,0
4,interactCount,互动次数,0
5,interactCount,互动次数,0
6,interactCount,互动次数,0
7,interactCount,互动次数,0
8,interactCount,互动次数,0
9,interactCount,互动次数,0
10,interactCount,互动次数,0
11,interactCount,互动次数,0
12,interactCount,互动次数,0
13,interactCount,互动次数,0
14,interactCount,互动次数,0
15,interactCount,互动次数,0
16,interactCount,互动次数,0
0,RobberMaterial,圣地技能使用次数增加,"[1]=0,[2]=0,[3]=0,[4]=0,"
1,RobberMaterial,圣地技能使用次数增加,"[1]=1,[2]=0,[3]=0,[4]=0,"
2,RobberMaterial,圣地技能使用次数增加,"[1]=1,[2]=1,[3]=0,[4]=1,"
3,RobberMaterial,圣地技能使用次数增加,"[1]=2,[2]=1,[3]=0,[4]=1,"
4,RobberMaterial,圣地技能使用次数增加,"[1]=2,[2]=1,[3]=1,[4]=1,"
5,RobberMaterial,圣地技能使用次数增加,"[1]=3,[2]=2,[3]=1,[4]=2,"
6,RobberMaterial,圣地技能使用次数增加,"[1]=3,[2]=2,[3]=1,[4]=2,"
7,RobberMaterial,圣地技能使用次数增加,"[1]=4,[2]=3,[3]=2,[4]=3,"
8,RobberMaterial,圣地技能使用次数增加,"[1]=4,[2]=3,[3]=2,[4]=3,"
9,RobberMaterial,圣地技能使用次数增加,"[1]=5,[2]=4,[3]=2,[4]=4,"
