#cid(格式为1xxooo|xx为类型序号|ooo为递增序号),名字,客户端创建隐藏（0是1否）,队员弹框,描述,模型ID,半身像ID,动作，默认是idle(combat_idle，attack，attacked，defense，die),出生地图,出生点x,出生点y,方向,操作,任务,功能,功能描述,类型,区分,可否点击,参拜说话,可视范围（相对于自己）,客户端创建（默认创建，-1不创建）,不寻路直接对话
id_kn,name_s,visible_n,talkInTeam_n,discribe_s,model_n,bust_n,status_t,map_n,x_n,y_n,o_n,operation_t,visiblecon_t,Function_t,gongneng_s,type_n,different_s,touch_n,superVIPSay_n,showScope_n,clientCreate,directTalk
10001,桤木西,0,,不要打扰我看书,3005,3005,,0,0,0,1,,,,闲人,,,1,1,,,
10002,明仁,0,,有谁想带我去吃一乐拉面吗？,3001,3020,,50001,136,125,1,,"[""task""]={1095,1100,1105}",,闲人,,,1,1,,,
10003,佐藤助,0,,我一定会重现宇智波的荣耀。,3019,3019,,50001,88,92,1,,"[""task""]={1025,1030,1055,1060,1080,1085,1090}",,闲人,,,1,1,,,
10004,吾爱洛,0,,杀了你可以证明我的存在吗？,3024,3028,,50001,74,110,1,,"[""task""]={1035,1040}",,闲人,,,1,1,,,
10005,骆冰,0,,这么多书，我又可以看很久了。,3003,3003,,50001,113,115,1,,"[""task""]={2001,2005,2010,2015}",,闲人,,,1,1,,,
10006,白犬,0,,切~,3007,3022,,50001,63,124,1,,"[""task""]={2020,2025,2030}",,闲人,,,1,1,,,
10007,霸神,0,,要和我切磋一下吗？,3025,3007,,50001,60,142,1,,"[""task""]={2035,2040,2045,2050,2055,2060,2095,2100,2105}",,闲人,,,1,1,,,
10008,露菲尔,0,,好饿~,3001,3001,,50001,38,147,1,,"[""task""]={2065,2070,2075,2080,2085,2090,2110,2115,2120}",,闲人,,,1,1,,,
10009,桤木西,0,,不要打扰我看书,3005,3005,,50001,51,158,1,,"[""task""]={3001,3005,3010,3015,3020,3025,3030,3035,3040,3045}",,闲人,,,1,1,,,
10010,罗杰斯,0,,大家听我说，我们一定要守护我们的营地。,3009,3009,,50001,19,133,1,,"[""task""]={3050,3055,3060,6005,6010,6015,6020,6025,6030,6035,6040,6045,6050,6055,6060,6065,6070,6075,6080,6085,6090,6095,6100,6105,6110,6115,6120,5110,5115,5120}",,闲人,,,1,1,,,
10011,维恩,0,,我是黑夜的骑士哦。,3008,3023,,50001,124,85,1,,"[""task""]={3065,3070,3075}",,闲人,,,1,1,,,
10012,皮特,0,,走开，我要吐丝了。,3018,3031,,50001,116,60,1,,"[""task""]={3080,3085,3090,3095,3100,3105,3110,3115,3120}",,闲人,,,1,1,,,
10013,丹妮,0,,来，试试我新制作的战甲。,3004,3004,,50001,148,81,1,,"[""task""]={6001,4001,4005,4010,4015,4020,4025,4030,4035,4040,4045}",,闲人,,,1,1,,,
10014,阿瞳目,0,,爷爷，你在哪里？,3006,3006,,50001,151,65,1,,"[""task""]={5001,4050,4055,4060,4065,4070,4075,4080,4085,4090}",,闲人,,,1,1,,,
10015,小宝,0,,你有西瓜吗？,3023,3026,,50001,147,114,1,,"[""task""]={4095,4100,4105,4110,4115,4120}",,闲人,,,1,1,,,
10016,皮卡皮卡,0,,皮卡~皮卡~皮卡丘,3002,3002,,50001,168,108,1,,"[""task""]={5005,5010,5015,5020,5025,5030}",,闲人,,,1,1,,,
10017,异兽宝贝,0,,我可以喷火，你会什么？,3022,3025,,50001,156,128,1,,"[""task""]={5035,5040,5045,5050,5055,5060,5065,5070,5075,5080,5085,5090,5095,5100,5105}",,闲人,,,1,1,,,
11001,军团旗帜,1,,,9046,9046,,0,0,0,1,120,,,,3,,1,,,,
11003,兑换使者,0,,,3002,3002,,50014,164,161,1,192,,,闲人,3,,1,1,,,
11004,魅力大使,1,,,3022,3022,,50014,120,96,1,194,,,闲人,3,,1,1,,,
11005,菲影尔,0,,,3423,3423,,50014,117,130,1,202,,,闲人,3,,1,1,,,
11006,公会第一,1,,,9215,9215,,0,0,0,1,,,,,3,,1,1,,,
11007,女神宝箱,0,,,9233,,,0,0,0,1,209,,4,,3,,1,1,,,1
20001,禁地守卫,1,,,4010,3003,,0,0,0,1,111,,,,3,red,1,,,,
20002,禁地守卫,1,,,4034,3004,,0,0,0,1,111,,,,3,red,1,,,,
20003,禁地守卫,1,,,4011,3005,,0,0,0,1,111,,,,3,red,1,,,,
20004,禁地守卫,1,,,4030,3006,,0,0,0,1,111,,,,3,red,1,,,,
20005,禁地守卫,1,,,4026,3007,,0,0,0,1,111,,,,3,red,5,,,,
20006,点我有惊喜,1,,,4009,3010,,0,0,0,1,112,,,,3,red,1,,,,
21001,新手怪1,0,,,3007,,,,,,1,162,,,,3,,1,,,,
21003,新手怪2,0,,,3007,,,,,,1,163,,,,3,,1,,,,
21004,新手怪3,0,,,3007,,,,,,1,164,,,,3,,1,,,,
21005,佐藤助,0,,,3019,,,,,,1,165,,,,3,,1,,,,
21006,手里剑忍者,0,,,4012,,,,,,1,167,,,,3,,1,,,,
21013,桤木西,0,,,3005,,,,,,1,168,,,,3,,1,,,,
21016,明仁,0,,,3001,,,,,,1,169,,,,3,,1,,,,
21017,神乐,0,,,4039,,,,,,1,170,,,,3,,1,,,,
21018,巨人,0,,,4004,,,,,,1,171,,,,3,,1,,,,
21019,飞马藏,0,,,3021,,,,,,1,172,,,,3,,1,,,,
21020,辉,0,,,3018,,,,,,1,173,,,,3,,1,,,,
21021,露菲尔,0,,,3020,,,,,,1,174,,,,3,,1,,,,
21022,皮卡皮卡,0,,,3002,,,,,,1,175,,,,3,,1,,,,
21023,机器瞄,0,,,3022,,,,,,1,176,,,,3,,1,,,,
21024,菲影尔,0,,,3023,,,,,,1,177,,,,3,,1,,,,
