#规则索引,序号,奖励说明,是否模板 1是,说明标题（默认是玩法介绍）
rule_ks,index_kn,des_s,templet,title_s
JJCChampionRule,1,1、不能进行雇用其他女神进行挑战。,,
JJCChampionRule,2,2、进攻方在限定的时间里打败防守方的所有角色，则视为挑战成功，否则挑战失败。,,
JJCChampionRule,3,3、若战斗胜利，防守方的排名高于挑战方，则将双方的排名对调。,,
JJCChampionRule,4,4、不能挑战正在战斗中的对手。,,
JJCChampionRule,5,5、每天有10次免费竞技场的挑战机会，每次挑战间隔5分钟。每天晚上12点重置挑战次数。,,
JJCChampionRule,6,6、每天连胜5次和10次，均获得10钻石奖励,,
JJCChampionRule,7,7、每天晚上23点结算排名积分奖励。,,
JJCChampionRule,8,每日结算积分：,,
JJCChampionRule,9,第1名：40000,,
JJCChampionRule,10,第2名：36000,,
JJCChampionRule,11,第3名：33000,,
JJCChampionRule,12,第4-10名：最低30000，每提升1排名增加300,,
JJCChampionRule,13,第11-50名：最低25000，每提升1排名增加88,,
JJCChampionRule,14,第51-200名：最低20000，每提升1排名增加23,,
JJCChampionRule,15,第201-500名：最低15000，每提升1排名增加12,,
JJCChampionRule,16,第501-1000名：最低10000，每提升1排名增加7,,
JJCChampionRule,17,第1001-5000名：最低4000，每提升1排名增加1,,
JJCChampionRule,18,5000名后：2000,,
shilianchang,1,1、雇佣队伍进行战斗时，每天只能雇佣2组队伍。,,
shilianchang,2,2、战斗中主角阵亡后，当天不能继续战斗（可以通过复活或重置的方法继续战斗）。,,
shilianchang,3,3、在海底逃生中战斗一场后，切换其他职业将导致当天不能再进行战斗。,,
shilianchang,4,4、在海底逃生中，可以获得积分奖励，该积分可以在积分商城海底逃生标签页中兑换自己想要的物品。,,
shilianchang,5,5、组队战斗，获得全服首通时，该奖励全队成员都能获得。,,
shilianchang,6,6、海底逃生每天凌晨0点重置。,,
shilianchang,7,7、每天凌晨11:55分后，将不能进行海底逃生的战斗。,,
shilianchang,8,8、每天每10层有概率出现神秘商人，30分钟后消失。,,
shilianchang,9,9、血盟成员组队进行海底逃生时，可以获得收益加成，具体加成信息请前往血盟中查看血盟奖励。,,
growfeeling,1,1、职业和女神进行养成互动时，每次都会增加属性，属性达到一定值时，可以进阶，请根据自己的方向而选择需要提升的属性,,
growfeeling,2,2、角色进行互动时，都有一个对白请求，玩家选择了与角色相应的互动属性+2，有几率产生爆击；不是对应的互动属性+1。,,
growfeeling,3,3、每项互动消耗活力20。,,
growfeeling,4,事件：,,
growfeeling,5,1、在互动过程中，会有一定几率触发特殊事件，完成特殊事件后会增加额外当前能力属性。,,
growfeeling,6,2、每个事件会有1-2条最佳选择，会根据角色当前能力值而定，选择了最佳的选项，属性加成翻倍。,,
growfeeling,7,心情值：,,
growfeeling,8,1、心情值影响所有特殊事件的触发几率。,,
growfeeling,9,2、心情值上限15点，无法自然恢复。选择了最佳的互动，心情值增加1点；不是最佳的互动则扣除1点。,,
guyong,1,1、任何女神都可以入驻公会，每次限定为1个职业和2位女神。,,
guyong,2,2、公会系统也会给入驻的队伍酬劳，时间越长收入越多。,,
guyong,3,3、公会成员也可以支付金币，向公会系统借用队伍，借用成功后，无论战斗胜利与否，费用不退。,,
guyong,4,4、被借用的队伍，都会获得一定比例的大头分红。,,
guyong,5,5、系统会根据每支队伍的等级而定价。,,
guyong,6,6、借用的队伍可以在海底逃生、关卡战斗。,,
guyong,7,7、向公会入驻队伍后，该队伍可以正常使用，不受影响。,,
guyong,8,8、公会系统实行日结的方式，每天凌晨0时会自动结算并退还入驻的队伍。,,
DefendRule,1,1、守护激活后初始阶段为1阶，最高上限为10阶。,,
DefendRule,2,2、守护等级提升可以增加属性、增加守护能量上限、解锁新外观。,,
DefendRule,3,3、升级失败可以增加幸运值，幸运值达到当前上限后，守护下次升级必然成功。,,
DefendRule,4,4、守护的幸运值可以累积，升级成功后清空。,,
DefendRule,5,5、技能格植入技能后，可以增加守护属性。,,
DefendRule,6,植入技能数量获得的具体属性加成如下：（只取最高一条属性）,,
DefendRule,7,1个：攻物和法攻+300，生命+4000,,
DefendRule,8,2个：物攻和法攻+628，生命+8380,,
DefendRule,9,3个：物攻和法攻+1316，生命+17556,,
DefendRule,10,4个：物攻和法攻+2758，生命+36780,,
DefendRule,11,5个：物攻和法攻+5779，生命+77054,,
DefendRule,12,6个：物攻和法攻+12107，生命+161428,,
DefendRule,13,这些属性会受装备、御灵、羁绊、守护等级等有百分比的加成效果影响。,,
BigBossActivity,1,1、活动每天中午12点和下午17点开启，持续20分钟，boss死亡后活动结束,,
BigBossActivity,2,2、活动前10分钟，boss不会被击杀。,,
BigBossActivity,3,3、每次战斗结束后，可以获得经验道具奖励，主角等级越高数量越多。,,
BigBossActivity,4,奖励说明：,,
BigBossActivity,5,最后一击，击杀奖励：守护源力*2，星辰图纸*2,,
BigBossActivity,6,累计伤害排名第一名：神魂结晶*5,,
BigBossActivity,7,累计伤害排名第二名：神魂结晶*4,,
BigBossActivity,8,累计伤害排名第三名：神魂结晶*3,,
BigBossActivity,9,累计伤害排名第四名：神魂结晶*2,,
BigBossActivity,10,累计伤害排名第五名：神魂结晶*2,,
BigBossActivity,11,拾取宝箱可能获得奖励：美味鸡腿、小钻石,,
PetLinkRule,1,1、羁绊达成相应等级，可以解锁天赋格、可以获得属性、技能加成。,,
PetLinkRule,2,2、羁绊等级提升需要#yellow收集指定的女神#rf，并且#yellow蜕变、进阶#rf达到相应等阶。,,
PetLinkRule,3,3、解锁的天赋格可以植入天赋石，从而获得该天赋石的能力加成。,,
PetStoneRule,1,1、天赋格可以植入天赋石。,,
PetStoneRule,2,2、不同天赋石加成的属性和能力不同。,,
PetStoneRule,3,3、天赋石可以在交易所和圣地获取。,,
PetStoneRule,4,4、植入的天赋石消耗指定材料可以进行升级，未植入的天赋石不可以进行升级。,,
AnswerQusetionRule,1,1、每天11:00和21:30开启。,,
AnswerQusetionRule,2,2、答题共有30道题目，需要规定时间做出选择。,,
AnswerQusetionRule,3,3、开始过程中可以双倍积分技能，答对题目后可以获得双倍分数；可以使用帮我选择技能，必然选择正确答案。,,
AnswerQusetionRule,4,4、答对题目可以获得分数，放弃不获得分数，分数会转换成相应青苹果，分数越高获得的青苹果数量越多。,,
FactionWarHelp,1,1、所有公会都可以报名参加，活动最终筛选战力最前的16名公会进行比赛。,,
FactionWarHelp,2,2、比赛分为淘汰赛和精英赛，精英赛在4强之后进行。,,
FactionWarHelp,3,3、淘汰赛为两个公会限时内在公共地图中抢夺旗子获取积分。,,
FactionWarHelp,4,4、精英赛需要双方公长或副会长配置的9个公会成员进行比赛，每3个人为一组，一共三组，每组只打一场比赛。,,
