VIP_ID,特权简介,购买钻石,"奖励（这里的奖励只显示在vip好礼那里）{""pet"", petEntryId}/{""item"", itemEntryId, count}",特权说明
VIPId_kn,introduce_s,jingshi,prizeList_t,privilege_t
0,#navajowhite无,,,
1,#navajowhite每天领取美味鸡腿和互动普通礼物,60,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP1#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime5#rf"",""奖励：5万金币"","
2,#navajowhite赠送#stroke_24_orange【贵族皮靴】#navajowhite；可使用终极魔龙、魔物攻城自动战斗功能,300,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP2#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime10#rf"",""血盟封魔金币和经验加成25%（需血盟3人组队且同时达到该VIP等级）"",""奖励：神魂结晶*30"","
3,#navajowhite赠送#stroke_24_orange【贵族头冠】#navajowhite；混沌世界可24小时挂机战斗,1000,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP3#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime20#rf"",""血盟封魔金币和经验加成60%（需血盟3人组队且同时达到该VIP等级）"",""海底逃生奖励加成#lime50%#rf"",""血盟PVP加成#lime6.5%#rf"",""奖励：传奇吾爱洛"","
4,#navajowhite赠送#stroke_24_orange【贵族铠甲】#navajowhite；关卡可免费扫荡不需扫荡卷轴,3000,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP4#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime25#rf"",""血盟封魔金币和经验加成100%（需血盟3人组队且同时达到该VIP等级）"",""海底逃生奖励加成#lime50%#rf"",""血盟PVP加成#lime13.4%#rf"",""上阵角色数量+1"",""奖励：魔王吾爱洛"","
5,#navajowhite赠送#stroke_24_orange【贵族之剑】#navajowhite；天空之塔每天可重置1次,5000,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP5#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime30#rf"",""血盟封魔金币和经验加成100%（需血盟3人组队且同时达到该VIP等级）"",""海底逃生奖励加成#lime50%#rf"",""血盟PVP加成#lime20.8%#rf"",""VIP5专属聊天泡泡"",""上阵角色数量+1"",""奖励：史诗吾爱洛"","
6,#navajowhite赠送#stroke_24_orange【女王宝靴】#navajowhite；时空碎片携带上限提升10万；军团长占领遗迹可提高成员遗迹开采收益,10000,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP6#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime40#rf"",""血盟封魔金币和经验加成100%（需血盟3人组队且同时达到该VIP等级）"",""海底逃生奖励加成#lime50%#rf"",""血盟PVP加成#lime28.7%#rf"",""上阵角色数量+1"",""奖励：菲影尔召集石"","
7,#navajowhite赠送#stroke_24_orange【女王皇冠】#navajowhite；女仆凯茜可进化金色质量#stroke_24_orange【凯茜】#navajowhite，开启新技能提高属性,30000,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP7#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime50#rf"",""血盟封魔金币和经验加成100%（需血盟3人组队且同时达到该VIP等级）"",""海底逃生奖励加成#lime50%#rf"",""血盟PVP加成#lime37%#rf"",""VIP7专属聊天泡泡"",""达到此VIP等级的公会会长占领航海商船，可提高全体成员的贸易加成（中型船+30%，大型+50%）"",""奖励：传奇菲影尔"","
8,#navajowhite赠送#stroke_24_orange【女王长袍】#navajowhite；获取超强专属金色女仆#stroke_24_orange【费欧娜】#navajowhite,50000,"{""item"",30001,1}","""累计充值#lime%s钻石#rf可获得#limeVIP8#rf"",""每天领取#lime1#rf个抽奖券"",""每天可购买金币次数#lime60#rf"",""血盟封魔金币和经验加成100%（需血盟3人组队且同时达到该VIP等级）"",""海底逃生奖励加成#lime50%#rf"",""血盟PVP加成#lime45.9%#rf"",""奖励：魔王菲影尔"","
