entryId,名称,模型,类型(-1，分身半透明；-2，头顶；-3不透明),宠物半身像,怪物帮手提示对白,发招对白
Id_kn,Name_s,model_n,type_n,bust_n,lines_s,skillIntro_t
100109,小乌龟,100001,,100001,,
100110,上官清,100031,,100031,,
100111,林妖,100014,,100014,,
100209,利刃猿,100028,,100028,,
100210,逸琼玄女,100032,,100032,,
100211,强盗,100002,,100002,,
100309,邪毒蜂,100018,,100018,,
100310,剑侠兔,20002,,20002,,
100311,炎魔,100017,,100017,,
100409,强盗,100002,,100002,,
100410,宠物剑邪,100030,,100030,,
100411,蝶精灵,100010,,100010,,
100510,混沌,100037,,100037,,
100609,瞌睡蛇,100020,,100020,,
100610,地域三头犬,20008,,20008,,
100611,硬壳龟,100027,,100027,,
100710,靡籁,100036,,100036,,
100809,冰火螳螂,100016,,100016,,
100810,黑水玄蛇,20010,,20010,,
100811,炎魔,100017,,100017,,
100909,炎魔,100017,,100017,,
100910,月光蝶,20005,,20005,,
100911,瞌睡蛇,100020,,100020,,
101010,混沌,100037,,100037,,
101110,魑,100041,,100041,,
101210,靡籁,100036,,100036,,
101303,瞌睡蛇,100020,,100020,,
101304,邪毒蜂,100018,,100018,,
101309,利刃猿,100028,,100028,,
101310,逸琼玄女,100032,,100032,,
101311,五毒蝎,100021,,100021,,
101410,魑,100041,,100041,,
101503,魔爪花,100025,,100025,,
101504,瞌睡蛇,100020,,100020,,
101509,蚌精,100005,,100005,,
101510,云中子,100034,,100034,,
101511,蚌精,100005,,100005,,
101603,小僵尸,100019,,100019,,
101604,邪毒蜂,100018,,100018,,
101609,古树精,100013,,100013,,
101610,逸琼玄女,100032,,100032,,
101611,冰火螳螂,100016,,100016,,
101703,石狮,100007,,100007,,
101704,异面怪,100009,,100009,,
101709,林妖,100014,,100014,,
101710,云中子,100034,,100034,,
101711,小骷髅,100003,,100003,,
101803,灵猴,100023,,100023,,
101804,木鱼怪,100026,,100026,,
101809,硬壳龟,100027,,100027,,
101810,宠物剑邪,100030,,100030,,
101811,林妖,100014,,100014,,
101903,白熊精,100008,,100008,,
101904,古树精,100013,,100013,,
101909,硬壳龟,100027,,100027,,
101910,剑侠兔,20002,,20002,,
101911,林妖,100014,,100014,,
102003,古树精,100013,,100013,,
102004,瞌睡蛇,100020,,100020,,
102009,蛮牛,100006,,100006,,
102010,宠物剑邪,100030,,100030,,
102011,剑魂,100012,,100012,,
102103,强盗,100002,,100002,,
102104,剑魂,100012,,100012,,
102109,蝶精灵,100010,,100010,,
102110,逸琼玄女,100032,,100032,,
102111,魔爪花,100025,,100025,,
102203,冰火螳螂,100016,,100016,,
102204,冰火螳螂,100016,,100016,,
102209,冰火螳螂,100016,,100016,,
102210,地域三头犬,20008,,20008,,
102211,利刃猿,100028,,100028,,
102310,靡籁,100036,,100036,,
102410,魑,100041,,100041,,
102503,五毒蝎,100021,,100021,,
102504,石狮,100007,,100007,,
102509,白熊精,100008,,100008,,
102510,逸琼玄女,100032,,100032,,
102511,冰火螳螂,100016,,100016,,
102603,小僵尸,100019,,100019,,
102604,异面怪,100009,,100009,,
102609,寒霜狼,100011,,100011,,
102610,剑齿虎,20006,,20006,,
102611,硬壳龟,100027,,100027,,
102703,小骷髅,100003,,100003,,
102704,小骷髅,100003,,100003,,
102709,剑魂,100012,,100012,,
102710,逸琼玄女,100032,,100032,,
102711,蝶精灵,100010,,100010,,
102803,异面怪,100009,,100009,,
