#Id,名字,特效ID,模型ID,模型ID2(性别女模型),坐骑模型偏移高度,称号(仙位)
ID_kn,name_c,effectId_n,model_n,model2_n,offy_n,image_s
15001,HeroRide,105001,,,,
15002,HeroRide,105002,,,,
15003,HeroRide,105003,,,,
15004,HeroRide,105004,,,,
15005,HeroRide,105005,,,,
15006,HeroRide,105006,,,,
15007,HeroRide,105007,,,,
15008,HeroRide,105008,,,,
15009,HeroRide,105009,,,,
15010,HeroRide,105010,,,,
15011,HeroRide,105011,,,,
15012,HeroRide,105012,,,,
15013,HeroRide,105013,,,,
15014,HeroRide,105014,,,,
15015,HeroRide,105015,,,,
13001,HeroWing,103001,,,,
13002,HeroWing,103002,,,,
13003,HeroWing,103003,,,,
13004,HeroWing,103004,,,,
13005,HeroWing,103005,,,,
13006,HeroWing,103006,,,,
13007,HeroWing,103007,,,,
13008,HeroWing,103008,,,,
13009,HeroWing,103009,,,,
13010,HeroWing,103010,,,,
13011,HeroWing,103011,,,,
13012,HeroWing,103012,,,,
13013,HeroWing,103013,,,,
13014,HeroWing,103014,,,,
13015,HeroWing,103015,,,,
22001,PetSouHun,202001,,,,
22002,PetSouHun,202002,,,,
22003,PetSouHun,202003,,,,
22004,PetSouHun,202004,,,,
22005,PetSouHun,202005,,,,
22006,PetSouHun,202006,,,,
22007,PetSouHun,202007,,,,
22008,PetSouHun,202008,,,,
22009,PetSouHun,202009,,,,
22010,PetSouHun,202010,,,,
22011,PetSouHun,202011,,,,
22012,PetSouHun,202012,,,,
22013,PetSouHun,202013,,,,
22014,PetSouHun,202014,,,,
22015,PetSouHun,202015,,,,
18001,XianLvFaZhen,108001,,,,
18002,XianLvFaZhen,108002,,,,
18003,XianLvFaZhen,108003,,,,
18004,XianLvFaZhen,108004,,,,
18005,XianLvFaZhen,108005,,,,
18006,XianLvFaZhen,108006,,,,
18007,XianLvFaZhen,108007,,,,
18008,XianLvFaZhen,108008,,,,
18009,XianLvFaZhen,108009,,,,
18010,XianLvFaZhen,108010,,,,
18011,XianLvFaZhen,108011,,,,
18012,XianLvFaZhen,108012,,,,
18013,XianLvFaZhen,108013,,,,
18014,XianLvFaZhen,108014,,,,
18015,XianLvFaZhen,108015,,,,
19001,XianLvXianWei,,,,,xianWei_icon01
19002,XianLvXianWei,,,,,xianWei_icon02
19003,XianLvXianWei,,,,,xianWei_icon03
19004,XianLvXianWei,,,,,xianWei_icon04
19005,XianLvXianWei,,,,,xianWei_icon05
19006,XianLvXianWei,,,,,xianWei_icon06
19007,XianLvXianWei,,,,,xianWei_icon07
19008,XianLvXianWei,,,,,xianWei_icon08
19009,XianLvXianWei,,,,,xianWei_icon09
19010,XianLvXianWei,,,,,xianWei_icon10
19011,XianLvXianWei,,,,,xianWei_icon11
19012,XianLvXianWei,,,,,xianWei_icon12
19013,XianLvXianWei,,,,,xianWei_icon13
19014,XianLvXianWei,,,,,xianWei_icon14
19015,XianLvXianWei,,,,,xianWei_icon15
11001,TianXian,,11001,,,
11002,TianXian,,11001,,,
11003,TianXian,,11001,,,
11004,TianXian,,11001,,,
11005,TianXian,,11001,,,
11006,TianXian,,11001,,,
11007,TianXian,,11001,,,
11008,TianXian,,11001,,,
11009,TianXian,,11001,,,
11010,TianXian,,11001,,,
11011,TianXian,,11001,,,
11012,TianXian,,11001,,,
11013,TianXian,,11001,,,
11014,TianXian,,11001,,,
11015,TianXian,,11001,,,
12001,TianXianWeapon,102001,,,,
12002,TianXianWeapon,102002,,,,
12003,TianXianWeapon,102003,,,,
12004,TianXianWeapon,102004,,,,
12005,TianXianWeapon,102005,,,,
12006,TianXianWeapon,102006,,,,
12007,TianXianWeapon,102007,,,,
12008,TianXianWeapon,102008,,,,
12009,TianXianWeapon,102009,,,,
12010,TianXianWeapon,102010,,,,
12011,TianXianWeapon,102011,,,,
12012,TianXianWeapon,102012,,,,
12013,TianXianWeapon,102013,,,,
12014,TianXianWeapon,102014,,,,
12015,TianXianWeapon,102015,,,,
24001,TianNv,,24001,,,
24002,TianNv,,24002,,,
24003,TianNv,,24003,,,
24004,TianNv,,24004,,,
24005,TianNv,,24005,,,
24006,TianNv,,24006,,,
24007,TianNv,,24007,,,
24008,TianNv,,24008,,,
24009,TianNv,,24009,,,
24010,TianNv,,24010,,,
24011,TianNv,,24011,,,
24012,TianNv,,24012,,,
24013,TianNv,,24013,,,
24014,TianNv,,24014,,,
24015,TianNv,,24015,,,
25001,TianNvXianQi,25001,,,,
25002,TianNvXianQi,25002,,,,
25003,TianNvXianQi,25003,,,,
25004,TianNvXianQi,25004,,,,
25005,TianNvXianQi,25005,,,,
25006,TianNvXianQi,25006,,,,
25007,TianNvXianQi,25007,,,,
25008,TianNvXianQi,25008,,,,
25009,TianNvXianQi,25009,,,,
25010,TianNvXianQi,25010,,,,
25011,TianNvXianQi,25011,,,,
25012,TianNvXianQi,25012,,,,
25013,TianNvXianQi,25013,,,,
25014,TianNvXianQi,25014,,,,
25015,TianNvXianQi,25015,,,,
26001,TianNvLingQi,26001,,,,
26002,TianNvLingQi,26002,,,,
26003,TianNvLingQi,26003,,,,
26004,TianNvLingQi,26004,,,,
26005,TianNvLingQi,26005,,,,
26006,TianNvLingQi,26006,,,,
26007,TianNvLingQi,26007,,,,
26008,TianNvLingQi,26008,,,,
26009,TianNvLingQi,26009,,,,
26010,TianNvLingQi,26010,,,,
26011,TianNvLingQi,26011,,,,
26012,TianNvLingQi,26012,,,,
26013,TianNvLingQi,26013,,,,
26014,TianNvLingQi,26014,,,,
26015,TianNvLingQi,26015,,,,
25001,TianNvHuaNian,25001,,,,
25002,TianNvHuaNian,25002,,,,
25003,TianNvHuaNian,25003,,,,
25004,TianNvHuaNian,25004,,,,
25005,TianNvHuaNian,25005,,,,
25006,TianNvHuaNian,25006,,,,
25007,TianNvHuaNian,25007,,,,
25008,TianNvHuaNian,25008,,,,
25009,TianNvHuaNian,25009,,,,
25010,TianNvHuaNian,25010,,,,
25011,TianNvHuaNian,25011,,,,
25012,TianNvHuaNian,25012,,,,
25013,TianNvHuaNian,25013,,,,
25014,TianNvHuaNian,25014,,,,
25015,TianNvHuaNian,25015,,,,
30001,HeroRide,300001,,,,
30002,HeroRide,300002,,,,
30003,HeroRide,300003,,,,
30004,HeroRide,300004,,,,
30005,HeroRide,300005,,,,
30006,HeroRide,300006,,,,
30007,HeroRide,300007,,,,
40001,HeroWing,400001,,,,
40002,HeroWing,400002,,,,
40003,HeroWing,400003,,,,
50001,TianXian,,50001,,,
50002,TianXian,,50002,,,
50003,TianXian,,50003,,,
50004,TianXian,,50004,,,
50005,TianXian,,50005,,,
50006,TianXian,,50006,,,
50007,TianXian,,50007,,,
50008,TianXian,,50008,,,
50009,TianXian,,50009,,,
