##关卡ID,名称,boss图,xml提示,索引名称,关卡等级,关卡集合序号,章节名称,章节索引名称,背景地图,地图,X坐标,Y坐标,战斗地图,战斗地图X,战斗地图Y,"引导性检查（{""appointLevel"", 20}/{""equipCheck""}/{""awakeCheck"", 20}）",标题（用于文字简介）,"偏移（{x, y, x1, x2, w}）",品质基数 100白色101蓝色102金色105传奇,"三星奖励（{物品entryId, 数量, 品质}",基础奖励,"可能奖励（1为金钱,2为元宝,3为装备,若为普通物品则直接以字符串格式填写物品的id：""10001""）",消耗体力,地图名,遇多少次怪,关联任务ID,关联开启功能信息索引,战斗中表演的电影的索引（文件名）,怪物库,敌营战力,下一关卡,战败提示,轨迹点,显示条件
Id_kn,name_s,bossImage_n,namexml_s,indexName_s,camLevel,chapterId_n,chapterName_s,chapterIndexName_s,bgImage_s,mapId_n,x_n,y_n,fightMap_n,fightMapX_n,fightMapY_n,guideCheck_t,title_s,offset_t,base_t,starItem_t,basePrize_t,prize_t,consume_n,map_c,autoFightNum_n,taskId_n,funcIndex_s,movieName_s,enemy_t,fighting_n,next_n,lostTips_s,spot_t,open_c
1001,东海龙宫1_1,100031,,1_1,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100109,[10]=100110,[11]=100111",,2,,,
1002,东海龙宫1_2,100032,,1_2,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100209,[10]=100210,[11]=100211",,3,,,
1003,东海龙宫1_3,20002,,1_3,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100309,[10]=100310,[11]=100311",,4,,,
1004,东海龙宫1_4,100030,,1_4,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100409,[10]=100410,[11]=100411",,5,,,
1005,东海龙宫1_5,110002,,1_5,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,[10]=100510,,6,,,
1006,东海龙宫1_6,120043,,1_6,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100609,[10]=100610,[11]=100611",,7,,,
1007,东海龙宫1_7,110001,,1_7,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,[10]=100710,,8,,,
1008,东海龙宫1_8,20010,,1_8,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100809,[10]=100810,[11]=100811",,9,,,
1009,东海龙宫1_9,20005,,1_9,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,"[9]=100909,[10]=100910,[11]=100911",,10,,,
1010,东海龙宫1_10,110002,,1_10,0,1001,东海龙宫,,,50001,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,东海龙宫,1,,,,[10]=101010,,11,,,
