任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
TalkId_n,NodeId_n,Name_s,type,NpcIds_s,NpcNames_c,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t
5001,1,无底洞1_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞1_10,,0,"""提交任务""",,,,,,,,,
5003,1,无底洞2_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞2_10,,0,"""提交任务""",,,,,,,,,
5005,1,无底洞3_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞3_10,,0,"""提交任务""",,,,,,,,,
5007,1,无底洞4_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞4_10,,0,"""提交任务""",,,,,,,,,
5009,1,无底洞5_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞5_10,,0,"""提交任务""",,,,,,,,,
5011,1,无底洞6_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞6_10,,0,"""提交任务""",,,,,,,,,
5013,1,无底洞7_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞7_10,,0,"""提交任务""",,,,,,,,,
5015,1,无底洞8_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞8_10,,0,"""提交任务""",,,,,,,,,
5017,1,无底洞9_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞9_10,,0,"""提交任务""",,,,,,,,,
5019,1,无底洞10_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞10_10,,0,"""提交任务""",,,,,,,,,
5021,1,无底洞11_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞11_10,,0,"""提交任务""",,,,,,,,,
5023,1,无底洞12_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞12_10,,0,"""提交任务""",,,,,,,,,
5025,1,无底洞13_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞13_10,,0,"""提交任务""",,,,,,,,,
5027,1,无底洞14_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞14_10,,0,"""提交任务""",,,,,,,,,
5029,1,无底洞15_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞15_10,,0,"""提交任务""",,,,,,,,,
5031,1,无底洞16_10,1,10001,桤木西,1,,#norb恭喜你通关无底洞16_10,,0,"""提交任务""",,,,,,,,,
5033,1,前往蜘蛛洞,1,10001,桤木西,1,,#norb恭喜你完成前往蜘蛛洞,,0,"""提交任务""",,,,,,,,,
5035,1,蜘蛛洞1_10,1,10001,桤木西,1,,#norb恭喜你通关蜘蛛洞1_10,,0,"""提交任务""",,,,,,,,,
5037,1,蜘蛛洞2_10,1,10001,桤木西,1,,#norb恭喜你通关蜘蛛洞2_10,,0,"""提交任务""",,,,,,,,,
