#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
4001,女儿国1_5,10001,桤木西,通关女儿国1_5,通关女儿国1_5,,主线,1,,,与%s对话,与%s对话,
4003,女儿国1_10,10001,桤木西,通关女儿国1_10,通关女儿国1_10,,主线,1,,,与%s对话,与%s对话,
4005,女儿国2_5,10001,桤木西,通关女儿国2_5,通关女儿国2_5,,主线,1,,,与%s对话,与%s对话,
4007,女儿国2_10,10001,桤木西,通关女儿国2_10,通关女儿国2_10,,主线,1,,,与%s对话,与%s对话,
4009,女儿国3_5,10001,桤木西,通关女儿国3_5,通关女儿国3_5,,主线,1,,,与%s对话,与%s对话,
4011,女儿国3_10,10001,桤木西,通关女儿国3_10,通关女儿国3_10,,主线,1,,,与%s对话,与%s对话,
4013,女儿国4_5,10001,桤木西,通关女儿国4_5,通关女儿国4_5,,主线,1,,,与%s对话,与%s对话,
4015,女儿国4_10,10001,桤木西,通关女儿国4_10,通关女儿国4_10,,主线,1,,,与%s对话,与%s对话,
4017,女儿国5_5,10001,桤木西,通关女儿国5_5,通关女儿国5_5,,主线,1,,,与%s对话,与%s对话,
4019,女儿国5_10,10001,桤木西,通关女儿国5_10,通关女儿国5_10,,主线,1,,,与%s对话,与%s对话,
4021,女儿国6_5,10001,桤木西,通关女儿国6_5,通关女儿国6_5,,主线,1,,,与%s对话,与%s对话,
4023,女儿国6_10,10001,桤木西,通关女儿国6_10,通关女儿国6_10,,主线,1,,,与%s对话,与%s对话,
4025,女儿国7_5,10001,桤木西,通关女儿国7_5,通关女儿国7_5,,主线,1,,,与%s对话,与%s对话,
4027,女儿国7_10,10001,桤木西,通关女儿国7_10,通关女儿国7_10,,主线,1,,,与%s对话,与%s对话,
4029,女儿国8_5,10001,桤木西,通关女儿国8_5,通关女儿国8_5,,主线,1,,,与%s对话,与%s对话,
4031,女儿国8_10,10001,桤木西,通关女儿国8_10,通关女儿国8_10,,主线,1,,,与%s对话,与%s对话,
4033,女儿国9_5,10001,桤木西,通关女儿国9_5,通关女儿国9_5,,主线,1,,,与%s对话,与%s对话,
4035,女儿国9_10,10001,桤木西,通关女儿国9_10,通关女儿国9_10,,主线,1,,,与%s对话,与%s对话,
4037,女儿国10_5,10001,桤木西,通关女儿国10_5,通关女儿国10_5,,主线,1,,,与%s对话,与%s对话,
4039,女儿国10_10,10001,桤木西,通关女儿国10_10,通关女儿国10_10,,主线,1,,,与%s对话,与%s对话,
4041,女儿国11_5,10001,桤木西,通关女儿国11_5,通关女儿国11_5,,主线,1,,,与%s对话,与%s对话,
4043,女儿国11_10,10001,桤木西,通关女儿国11_10,通关女儿国11_10,,主线,1,,,与%s对话,与%s对话,
4045,女儿国12_5,10001,桤木西,通关女儿国12_5,通关女儿国12_5,,主线,1,,,与%s对话,与%s对话,
4047,女儿国12_10,10001,桤木西,通关女儿国12_10,通关女儿国12_10,,主线,1,,,与%s对话,与%s对话,
4049,女儿国13_5,10001,桤木西,通关女儿国13_5,通关女儿国13_5,,主线,1,,,与%s对话,与%s对话,
4051,女儿国13_10,10001,桤木西,通关女儿国13_10,通关女儿国13_10,,主线,1,,,与%s对话,与%s对话,
4053,女儿国14_5,10001,桤木西,通关女儿国14_5,通关女儿国14_5,,主线,1,,,与%s对话,与%s对话,
4055,女儿国14_10,10001,桤木西,通关女儿国14_10,通关女儿国14_10,,主线,1,,,与%s对话,与%s对话,
4057,前往琵琶洞,10001,桤木西,完成前往琵琶洞,完成前往琵琶洞,,主线,1,,,与%s对话,与%s对话,
4059,琵琶洞1_5,10001,桤木西,通关琵琶洞1_5,通关琵琶洞1_5,,主线,1,,,与%s对话,与%s对话,
4061,琵琶洞1_10,10001,桤木西,通关琵琶洞1_10,通关琵琶洞1_10,,主线,1,,,与%s对话,与%s对话,
4063,琵琶洞2_5,10001,桤木西,通关琵琶洞2_5,通关琵琶洞2_5,,主线,1,,,与%s对话,与%s对话,
4065,琵琶洞2_10,10001,桤木西,通关琵琶洞2_10,通关琵琶洞2_10,,主线,1,,,与%s对话,与%s对话,
4067,琵琶洞3_5,10001,桤木西,通关琵琶洞3_5,通关琵琶洞3_5,,主线,1,,,与%s对话,与%s对话,
4069,琵琶洞3_10,10001,桤木西,通关琵琶洞3_10,通关琵琶洞3_10,,主线,1,,,与%s对话,与%s对话,
4071,琵琶洞4_5,10001,桤木西,通关琵琶洞4_5,通关琵琶洞4_5,,主线,1,,,与%s对话,与%s对话,
4073,琵琶洞4_10,10001,桤木西,通关琵琶洞4_10,通关琵琶洞4_10,,主线,1,,,与%s对话,与%s对话,
4075,琵琶洞5_5,10001,桤木西,通关琵琶洞5_5,通关琵琶洞5_5,,主线,1,,,与%s对话,与%s对话,
4077,琵琶洞5_10,10001,桤木西,通关琵琶洞5_10,通关琵琶洞5_10,,主线,1,,,与%s对话,与%s对话,
4079,琵琶洞6_5,10001,桤木西,通关琵琶洞6_5,通关琵琶洞6_5,,主线,1,,,与%s对话,与%s对话,
4081,琵琶洞6_10,10001,桤木西,通关琵琶洞6_10,通关琵琶洞6_10,,主线,1,,,与%s对话,与%s对话,
4083,琵琶洞7_5,10001,桤木西,通关琵琶洞7_5,通关琵琶洞7_5,,主线,1,,,与%s对话,与%s对话,
4085,琵琶洞7_10,10001,桤木西,通关琵琶洞7_10,通关琵琶洞7_10,,主线,1,,,与%s对话,与%s对话,
4087,琵琶洞8_5,10001,桤木西,通关琵琶洞8_5,通关琵琶洞8_5,,主线,1,,,与%s对话,与%s对话,
4089,琵琶洞8_10,10001,桤木西,通关琵琶洞8_10,通关琵琶洞8_10,,主线,1,,,与%s对话,与%s对话,
4091,琵琶洞9_5,10001,桤木西,通关琵琶洞9_5,通关琵琶洞9_5,,主线,1,,,与%s对话,与%s对话,
4093,琵琶洞9_10,10001,桤木西,通关琵琶洞9_10,通关琵琶洞9_10,,主线,1,,,与%s对话,与%s对话,
4095,琵琶洞10_5,10001,桤木西,通关琵琶洞10_5,通关琵琶洞10_5,,主线,1,,,与%s对话,与%s对话,
4097,琵琶洞10_10,10001,桤木西,通关琵琶洞10_10,通关琵琶洞10_10,,主线,1,,,与%s对话,与%s对话,
4099,琵琶洞11_5,10001,桤木西,通关琵琶洞11_5,通关琵琶洞11_5,,主线,1,,,与%s对话,与%s对话,
4101,琵琶洞11_10,10001,桤木西,通关琵琶洞11_10,通关琵琶洞11_10,,主线,1,,,与%s对话,与%s对话,
4103,琵琶洞12_5,10001,桤木西,通关琵琶洞12_5,通关琵琶洞12_5,,主线,1,,,与%s对话,与%s对话,
4105,琵琶洞12_10,10001,桤木西,通关琵琶洞12_10,通关琵琶洞12_10,,主线,1,,,与%s对话,与%s对话,
4107,琵琶洞13_5,10001,桤木西,通关琵琶洞13_5,通关琵琶洞13_5,,主线,1,,,与%s对话,与%s对话,
4109,琵琶洞13_10,10001,桤木西,通关琵琶洞13_10,通关琵琶洞13_10,,主线,1,,,与%s对话,与%s对话,
4111,琵琶洞14_5,10001,桤木西,通关琵琶洞14_5,通关琵琶洞14_5,,主线,1,,,与%s对话,与%s对话,
4113,琵琶洞14_10,10001,桤木西,通关琵琶洞14_10,通关琵琶洞14_10,,主线,1,,,与%s对话,与%s对话,
4115,前往火焰山,10001,桤木西,完成前往火焰山,完成前往火焰山,,主线,1,,,与%s对话,与%s对话,
4117,火焰山1_5,10001,桤木西,通关火焰山1_5,通关火焰山1_5,,主线,1,,,与%s对话,与%s对话,
4119,火焰山1_10,10001,桤木西,通关火焰山1_10,通关火焰山1_10,,主线,1,,,与%s对话,与%s对话,
4121,火焰山2_5,10001,桤木西,通关火焰山2_5,通关火焰山2_5,,主线,1,,,与%s对话,与%s对话,
