章节id,地图Id,遇怪使用的关卡起始ＩＤ,向后随机多少关,掉落装备概率,掉落绿色装备概率,装备id,经验,银两,多少秒遇怪一次
id_kn,mapId_c,begincampaign_n,randnum_n,drop_n,green_n,suitid_n,exp_n,funds_n,second_n
1001,50001,1000,10,0.5,0.2,101,1230,180,10
1002,50002,1000,10,0.5,0.2,101,1230,230,10
1003,50003,1000,10,0.5,0.2,101,1681,280,10
1004,50004,1000,10,0.5,0.2,102,2132,310,10
1005,50005,1000,10,0.5,0.2,102,2583,350,10
1006,,1010,10,0.5,0.2,102,3034,380,10
1007,,1010,10,0.5,0.2,103,3485,390,10
1008,,1010,10,0.5,0.2,103,3936,410,10
1009,,1010,10,0.5,0.2,103,3936,430,10
1010,,1010,10,0.5,0.2,103,3936,440,10
1011,,1010,10,0.5,0.2,103,5412,460,10
1012,,1010,10,0.5,0.2,103,5412,480,10
1013,,1010,10,0.5,0.2,104,5412,490,10
1014,,1010,10,0.5,0.2,104,6888,500,10
1015,,1020,10,0.5,0.2,104,6888,510,10
1016,,1020,10,0.5,0.2,104,6888,520,10
1017,,1020,10,0.5,0.2,104,6888,530,10
1018,,1020,10,0.5,0.2,104,6888,540,10
1019,,1020,10,0.5,0.2,104,9348,550,10
1020,,1020,10,0.5,0.2,104,9348,560,10
1021,,1020,10,0.5,0.2,104,9348,570,10
1022,,1020,10,0.5,0.2,104,9348,580,10
1023,,1020,10,0.5,0.2,105,9348,590,10
1024,,1020,10,0.5,0.2,105,16531,590,10
1025,,1030,10,0.5,0.2,105,16531,600,10
1026,,1030,10,0.5,0.2,105,16531,600,10
1027,,1030,10,0.5,0.2,105,16531,610,10
1028,,1030,10,0.5,0.2,105,16531,610,10
1029,,1030,10,0.5,0.2,105,16531,620,10
1030,,1030,10,0.5,0.2,105,16531,630,10
1031,,1030,10,0.5,0.2,105,16531,630,10
1032,,1030,10,0.5,0.2,105,22041,640,10
1033,,1030,10,0.5,0.2,105,22041,640,10
1034,,1030,10,0.5,0.2,105,22041,650,10
1035,,1030,10,0.5,0.2,105,22041,660,10
1036,,1030,10,0.5,0.2,105,22041,660,10
1037,,1030,10,0.5,0.2,105,22041,670,10
1038,,1030,10,0.5,0.2,105,22041,680,10
1039,,1030,10,0.5,0.2,106,22041,680,10
1040,,1030,10,0.5,0.2,106,27552,690,10
1041,,1030,10,0.5,0.2,106,27552,690,10
1042,,1030,10,0.5,0.2,106,27552,700,10
1043,,1030,10,0.5,0.2,106,27552,700,10
1044,,1030,10,0.5,0.2,106,27552,710,10
1045,,1030,10,0.5,0.2,106,27552,710,10
1046,,1030,10,0.5,0.2,106,27552,720,10
1047,,1030,10,0.5,0.2,106,27552,720,10
1048,,1030,10,0.5,0.2,106,27552,730,10
1049,,1030,10,0.5,0.2,106,27552,730,10
1050,,1030,10,0.5,0.2,106,39360,740,10
1051,,1030,10,0.5,0.2,106,39360,740,10
1052,,1030,10,0.5,0.2,106,39360,750,10
1053,,1030,10,0.5,0.2,106,39360,750,10
1054,,1030,10,0.5,0.2,106,39360,760,10
1055,,1030,10,0.5,0.2,106,39360,760,10
1056,,1030,10,0.5,0.2,106,39360,770,10
1057,,1030,10,0.5,0.2,106,39360,770,10
1058,,1030,10,0.5,0.2,106,39360,780,10
1059,,1030,10,0.5,0.2,107,39360,780,10
1060,,1030,10,0.5,0.2,107,47232,780,10
1061,,1030,10,0.5,0.2,107,47232,790,10
1062,,1030,10,0.5,0.2,107,47232,790,10
1063,,1030,10,0.5,0.2,107,47232,790,10
1064,,1030,10,0.5,0.2,107,47232,800,10
1065,,1030,10,0.5,0.2,107,47232,800,10
1066,,1030,10,0.5,0.2,107,47232,810,10
1067,,1030,10,0.5,0.2,107,47232,810,10
1068,,1030,10,0.5,0.2,107,47232,810,10
1069,,1030,10,0.5,0.2,107,47232,820,10
1070,,1030,10,0.5,0.2,107,47232,820,10
1071,,1030,10,0.5,0.2,107,47232,830,10
1072,,1030,10,0.5,0.2,107,47232,830,10
1073,,1030,10,0.5,0.2,107,57466,830,10
1074,,1030,10,0.5,0.2,107,57466,840,10
1075,,1030,10,0.5,0.2,107,57466,840,10
1076,,1030,10,0.5,0.2,107,57466,840,10
1077,,1030,10,0.5,0.2,107,57466,850,10
1078,,1030,10,0.5,0.2,107,57466,850,10
1079,,1030,10,0.5,0.2,107,57466,850,10
1080,,1030,10,0.5,0.2,107,57466,860,10
1081,,1030,10,0.5,0.2,107,57466,860,10
1082,,1030,10,0.5,0.2,107,57466,870,10
1083,,1030,10,0.5,0.2,107,57466,870,10
1084,,1030,10,0.5,0.2,107,57466,880,10
1085,,1030,10,0.5,0.2,108,57466,880,10
1086,,1030,10,0.5,0.2,108,67699,880,10
1087,,1030,10,0.5,0.2,108,67699,890,10
1088,,1030,10,0.5,0.2,108,67699,890,10
1089,,1030,10,0.5,0.2,108,67699,890,10
1090,,1030,10,0.5,0.2,108,67699,900,10
1091,,1030,10,0.5,0.2,108,67699,900,10
1092,,1030,10,0.5,0.2,108,67699,900,10
1093,,1030,10,0.5,0.2,108,67699,910,10
1094,,1030,10,0.5,0.2,108,67699,910,10
1095,,1030,10,0.5,0.2,108,67699,910,10
1096,,1030,10,0.5,0.2,108,67699,920,10
1097,,1030,10,0.5,0.2,108,67699,920,10
1098,,1030,10,0.5,0.2,108,67699,920,10
1099,,1030,10,0.5,0.2,108,67699,930,10
1100,,1030,10,0.5,0.2,108,78720,930,10
1101,,1030,10,0.5,0.2,108,78720,940,10
1102,,1030,10,0.5,0.2,108,78720,940,10
1103,,1030,10,0.5,0.2,108,78720,940,10
1104,,1030,10,0.5,0.2,108,78720,950,10
1105,,1030,10,0.5,0.2,108,78720,950,10
1106,,1030,10,0.5,0.2,108,78720,950,10
1107,,1030,10,0.5,0.2,108,78720,960,10
