等级阶段,等级说明,奖励索引位置,怪物条件需求,奖励内容,"快速完成消耗货币种类id(1，银两,3，元宝,2，绑定元宝）",快速完成消耗数量,VIP等级
level_ks,,index_kn,needCondition_n,prize_t,unity_n,needNum,needVip
40,40~69级,1,100,"{""exp"",30001,20000},{""bindRmb"",500},{""item"",60001,300}",2,100,6
70,70~79级,1,100,"{""exp"",30001,30000},{""bindRmb"",500},{""item"",60001,300}",2,100,6
80,80~89级,1,100,"{""exp"",30001,36667},{""bindRmb"",500},{""item"",600074,5}",2,100,6
90,90~99级,1,100,"{""exp"",30001,50000},{""bindRmb"",500},{""item"",600074,5}",2,110,6
100,100~109级,1,100,"{""exp"",30001,100000},{""bindRmb"",500},{""item"",600074,5}",2,120,6
110,110~119级,1,100,"{""exp"",30001,120000},{""bindRmb"",500},{""item"",600074,5}",2,130,6
120,120~129级,1,100,"{""exp"",30001,150000},{""bindRmb"",500},{""item"",600074,5}",2,140,6
130,130~139级,1,100,"{""exp"",30001,213333},{""bindRmb"",500},{""item"",600074,5}",2,150,6
140,140~149级,1,100,"{""exp"",30001,256667},{""bindRmb"",500},{""item"",600074,5}",2,170,6
150,150~159级,1,100,"{""exp"",30001,313333},{""bindRmb"",500},{""item"",600074,5}",2,190,6
160,160~169级,1,100,"{""exp"",30001,370000},{""bindRmb"",500},{""item"",600074,5}",2,210,6
170,170~179级,1,100,"{""exp"",30001,430000},{""bindRmb"",500},{""item"",600074,5}",2,230,6
180,180~189级,1,100,"{""exp"",30001,490000},{""bindRmb"",500},{""item"",600074,5}",2,250,6
190,190~199级,1,100,"{""exp"",30001,553333},{""bindRmb"",500},{""item"",600074,5}",2,270,6
200,200~209级,1,100,"{""exp"",30001,620000},{""bindRmb"",500},{""item"",600074,5}",2,290,6
210,210~219级,1,100,"{""exp"",30001,686667},{""bindRmb"",500},{""item"",600074,5}",2,310,6
220,220~229级,1,100,"{""exp"",30001,756667},{""bindRmb"",500},{""item"",600074,5}",2,330,6
230,230~239级,1,100,"{""exp"",30001,830000},{""bindRmb"",500},{""item"",600074,5}",2,350,6
240,240~300级,1,100,"{""exp"",30001,903333},{""bindRmb"",500},{""item"",600074,5}",2,370,6
40,40~69级,2,200,"{""exp"",30001,30000},{""bindRmb"",500},{""item"",60003,10}",2,100,6
70,70~79级,2,200,"{""exp"",30001,45000},{""bindRmb"",500},{""item"",60003,10}",2,100,6
80,80~89级,2,200,"{""exp"",30001,55000},{""bindRmb"",500},{""item"",600075,5}",2,100,6
90,90~99级,2,200,"{""exp"",30001,75000},{""bindRmb"",500},{""item"",600075,5}",2,110,6
100,100~109级,2,200,"{""exp"",30001,150000},{""bindRmb"",500},{""item"",600075,5}",2,120,6
110,110~119级,2,200,"{""exp"",30001,180000},{""bindRmb"",500},{""item"",600075,5}",2,130,6
120,120~129级,2,200,"{""exp"",30001,225000},{""bindRmb"",500},{""item"",600075,5}",2,140,6
130,130~139级,2,200,"{""exp"",30001,320000},{""bindRmb"",500},{""item"",600075,5}",2,150,6
140,140~149级,2,200,"{""exp"",30001,385000},{""bindRmb"",500},{""item"",600075,5}",2,170,6
150,150~159级,2,200,"{""exp"",30001,470000},{""bindRmb"",500},{""item"",600075,5}",2,190,6
160,160~169级,2,200,"{""exp"",30001,555000},{""bindRmb"",500},{""item"",600075,5}",2,210,6
170,170~179级,2,200,"{""exp"",30001,645000},{""bindRmb"",500},{""item"",600075,5}",2,230,6
180,180~189级,2,200,"{""exp"",30001,735000},{""bindRmb"",500},{""item"",600075,5}",2,250,6
190,190~199级,2,200,"{""exp"",30001,830000},{""bindRmb"",500},{""item"",600075,5}",2,270,6
200,200~209级,2,200,"{""exp"",30001,930000},{""bindRmb"",500},{""item"",600075,5}",2,290,6
210,210~219级,2,200,"{""exp"",30001,1030000},{""bindRmb"",500},{""item"",600075,5}",2,310,6
220,220~229级,2,200,"{""exp"",30001,1135000},{""bindRmb"",500},{""item"",600075,5}",2,330,6
230,230~239级,2,200,"{""exp"",30001,1245000},{""bindRmb"",500},{""item"",600075,5}",2,350,6
240,240~300级,2,200,"{""exp"",30001,1355000},{""bindRmb"",500},{""item"",600075,5}",2,370,6
40,40~69级,3,300,"{""exp"",30001,40000},{""bindRmb"",500},{""item"",60013,1}",2,100,6
70,70~79级,3,300,"{""exp"",30001,60000},{""bindRmb"",500},{""item"",60013,1}",2,100,6
80,80~89级,3,300,"{""exp"",30001,73333},{""bindRmb"",500},{""item"",60013,1}",2,100,6
90,90~99级,3,300,"{""exp"",30001,100000},{""bindRmb"",500},{""item"",60013,1}",2,110,6
100,100~109级,3,300,"{""exp"",30001,200000},{""bindRmb"",500},{""item"",60013,1}",2,120,6
110,110~119级,3,300,"{""exp"",30001,240000},{""bindRmb"",500},{""item"",60013,1}",2,130,6
120,120~129级,3,300,"{""exp"",30001,300000},{""bindRmb"",500},{""item"",60013,1}",2,140,6
130,130~139级,3,300,"{""exp"",30001,426667},{""bindRmb"",500},{""item"",60013,1}",2,150,6
140,140~149级,3,300,"{""exp"",30001,513333},{""bindRmb"",500},{""item"",60013,1}",2,170,6
150,150~159级,3,300,"{""exp"",30001,626667},{""bindRmb"",500},{""item"",60013,1}",2,190,6
160,160~169级,3,300,"{""exp"",30001,740000},{""bindRmb"",500},{""item"",60013,1}",2,210,6
170,170~179级,3,300,"{""exp"",30001,860000},{""bindRmb"",500},{""item"",60013,1}",2,230,6
180,180~189级,3,300,"{""exp"",30001,980000},{""bindRmb"",500},{""item"",60013,1}",2,250,6
190,190~199级,3,300,"{""exp"",30001,1106667},{""bindRmb"",500},{""item"",60013,1}",2,270,6
200,200~209级,3,300,"{""exp"",30001,1240000},{""bindRmb"",500},{""item"",60013,1}",2,290,6
210,210~219级,3,300,"{""exp"",30001,1373333},{""bindRmb"",500},{""item"",60013,1}",2,310,6
220,220~229级,3,300,"{""exp"",30001,1513333},{""bindRmb"",500},{""item"",60013,1}",2,330,6
230,230~239级,3,300,"{""exp"",30001,1660000},{""bindRmb"",500},{""item"",60013,1}",2,350,6
240,240~300级,3,300,"{""exp"",30001,1806667},{""bindRmb"",500},{""item"",60013,1}",2,370,6
