野外boss索引,怪物entryId,等级（要求）,能否组队,怪物列表,固定掉落,刷新时间,刷新时间描述,掉落预览（固定）,掉落预览（稀有）,挑战消耗,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,普通物品掉落库
index_kn,entryId_n,level_n,canTeam_n,monster_t,prize_t,refreshTimeConfig_t,refreshDes_s,itemShow_t,rareItemShow_t,consum_t,suitid_n,gray_t,green_t,blue_t,purple_t,gold_t,lib_t
11,395410,70,0,"[2]=395402,[3]=395403,[4]=395404,[5]=395405,[6]=395406,[8]=395408,[9]=395409,[10]=395410,[11]=395411,[12]=395412","{""bindRmb"",180},{""item"",60019,3},{""funds"",52800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15032,15033,15034,","{""item"",60011,0}",104,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
12,395510,75,0,"[2]=395502,[3]=395503,[4]=395504,[5]=395505,[6]=395506,[8]=395508,[9]=395509,[10]=395510,[11]=395511,[12]=395512","{""bindRmb"",180},{""item"",60019,3},{""funds"",56800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15032,15033,15034,","{""item"",60011,0}",104,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
13,395610,80,0,"[2]=395602,[3]=395603,[4]=395604,[5]=395605,[6]=395606,[8]=395608,[9]=395609,[10]=395610,[11]=395611,[12]=395612","{""bindRmb"",180},{""item"",60019,3},{""funds"",60800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15032,15033,15034,","{""item"",60011,0}",104,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
14,50000005,85,0,[10]=395710,"{""bindRmb"",180},{""item"",60019,3},{""funds"",64800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15042,15043,15044,","{""item"",60011,0}",105,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
15,395810,90,0,"[2]=395802,[3]=395803,[4]=395804,[5]=395805,[6]=395806,[8]=395808,[9]=395809,[10]=395810,[11]=395811,[12]=395812","{""bindRmb"",180},{""item"",60019,3},{""funds"",68800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15042,15043,15044,","{""item"",60011,0}",105,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
16,395910,95,0,"[2]=395902,[3]=395903,[4]=395904,[5]=395905,[6]=395906,[8]=395908,[9]=395909,[10]=395910,[11]=395911,[12]=395912","{""bindRmb"",180},{""item"",60019,3},{""funds"",72800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15042,15043,15044,","{""item"",60011,0}",105,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
17,396010,100,0,"[2]=396002,[3]=396003,[4]=396004,[5]=396005,[6]=396006,[8]=396008,[9]=396009,[10]=396010,[11]=396011,[12]=396012","{""bindRmb"",180},{""item"",60019,3},{""funds"",81800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15052,15053,15054,","{""item"",60011,0}",106,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
18,50000002,105,0,[10]=396110,"{""bindRmb"",180},{""item"",60019,3},{""funds"",81800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15052,15053,15054,","{""item"",60011,0}",106,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
19,50000004,110,0,[10]=396210,"{""bindRmb"",180},{""item"",60019,3},{""funds"",86800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15052,15053,15054,","{""item"",60011,0}",106,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
