类型,索引,奖励,权重(绑元),权重(元宝),是否为稀有物品0否1是
lType_kn,index_kn,prize_t,weight1,weight2,lucky
1,1,"{""item"",40021,1}",2500,2500,0
1,2,"{""item"",20001,1}",10000,10000,0
1,3,"{""item"",20001,1}",250,250,0
1,4,"{""item"",20001,1}",300,300,0
1,5,"{""item"",20001,1}",13110,13110,0
1,6,"{""item"",20001,1}",5875,5875,0
1,7,"{""item"",20001,1}",5000,5000,0
1,8,"{""item"",20001,1}",50,50,1
1,9,"{""commonEquip"",10001,1,4,0}",13110,13110,1
1,10,"{""item"",20001,1}",1200,1200,0
1,11,"{""item"",20001,1}",2200,2200,0
1,12,"{""item"",20001,1}",500,500,0
2,1,"{""item"",40021,1}",2500,2500,0
2,2,"{""item"",20001,1}",10000,10000,0
2,3,"{""item"",20001,1}",250,250,0
2,4,"{""item"",20001,1}",300,300,0
2,5,"{""item"",20001,1}",13110,13110,0
2,6,"{""item"",20001,1}",5875,5875,0
2,7,"{""item"",20001,1}",5000,5000,0
2,8,"{""item"",20001,1}",50,50,1
2,9,"{""commonEquip"",10001,1,4,0}",13110,13110,1
2,10,"{""item"",20001,1}",1200,1200,0
2,11,"{""item"",20001,1}",2200,2200,0
2,12,"{""item"",20001,1}",500,500,0
