仙侣主动技能ID,技能等级,技能名字,效果
Id_kn,Level_kn,Name_c,effects_t
40001,1,圣灵蝶技能,"{'maxhp',100}"
40001,2,圣灵蝶技能,"{'maxhp',101}"
40001,3,圣灵蝶技能,"{'maxhp',102}"
40001,4,圣灵蝶技能,"{'maxhp',103}"
40001,5,圣灵蝶技能,"{'maxhp',104}"
40001,6,圣灵蝶技能,"{'maxhp',105}"
40001,7,圣灵蝶技能,"{'maxhp',106}"
40002,1,桃花仙子技能,"{'maxhp',100}"
40002,2,桃花仙子技能,"{'maxhp',101}"
40002,3,桃花仙子技能,"{'maxhp',102}"
40002,4,桃花仙子技能,"{'maxhp',103}"
40002,5,桃花仙子技能,"{'maxhp',104}"
40002,6,桃花仙子技能,"{'maxhp',105}"
40002,7,桃花仙子技能,"{'maxhp',106}"
40003,1,兵魂技能,"{'maxhp',106}"
40003,2,兵魂技能,"{'maxhp',106}"
40003,3,兵魂技能,"{'maxhp',106}"
40003,4,兵魂技能,"{'maxhp',106}"
40003,5,兵魂技能,"{'maxhp',106}"
40003,6,兵魂技能,"{'maxhp',106}"
40003,7,兵魂技能,"{'maxhp',106}"
40004,1,龙象精技能,"{'maxhp',106}"
40004,2,龙象精技能,"{'maxhp',106}"
40004,3,龙象精技能,"{'maxhp',106}"
40004,4,龙象精技能,"{'maxhp',106}"
40004,5,龙象精技能,"{'maxhp',106}"
40004,6,龙象精技能,"{'maxhp',106}"
40004,7,龙象精技能,"{'maxhp',106}"
40005,1,白象精技能,"{'maxhp',106}"
40005,2,白象精技能,"{'maxhp',106}"
40005,3,白象精技能,"{'maxhp',106}"
40005,4,白象精技能,"{'maxhp',106}"
40005,5,白象精技能,"{'maxhp',106}"
40005,6,白象精技能,"{'maxhp',106}"
40005,7,白象精技能,"{'maxhp',106}"
40006,1,魔星技能,"{'maxhp',107}"
40006,2,魔星技能,"{'maxhp',108}"
40006,3,魔星技能,"{'maxhp',109}"
40006,4,魔星技能,"{'maxhp',110}"
40006,5,魔星技能,"{'maxhp',111}"
40006,6,魔星技能,"{'maxhp',112}"
40006,7,魔星技能,"{'maxhp',113}"
40007,1,熊精技能,"{'maxhp',114}"
40007,2,熊精技能,"{'maxhp',115}"
40007,3,熊精技能,"{'maxhp',116}"
40007,4,熊精技能,"{'maxhp',117}"
40007,5,熊精技能,"{'maxhp',118}"
40007,6,熊精技能,"{'maxhp',119}"
40007,7,熊精技能,"{'maxhp',120}"
40008,1,猪刚鬣技能,"{'maxhp',121}"
40008,2,猪刚鬣技能,"{'maxhp',122}"
40008,3,猪刚鬣技能,"{'maxhp',123}"
40008,4,猪刚鬣技能,"{'maxhp',124}"
40008,5,猪刚鬣技能,"{'maxhp',125}"
40008,6,猪刚鬣技能,"{'maxhp',126}"
40008,7,猪刚鬣技能,"{'maxhp',127}"
40009,1,业魔技能,"{'maxhp',128}"
40009,2,业魔技能,"{'maxhp',129}"
40009,3,业魔技能,"{'maxhp',130}"
40009,4,业魔技能,"{'maxhp',131}"
40009,5,业魔技能,"{'maxhp',132}"
40009,6,业魔技能,"{'maxhp',133}"
40009,7,业魔技能,"{'maxhp',134}"
40010,1,鬼武者技能,"{'maxhp',135}"
40010,2,鬼武者技能,"{'maxhp',136}"
40010,3,鬼武者技能,"{'maxhp',137}"
40010,4,鬼武者技能,"{'maxhp',138}"
40010,5,鬼武者技能,"{'maxhp',139}"
40010,6,鬼武者技能,"{'maxhp',140}"
40010,7,鬼武者技能,"{'maxhp',141}"
