玩法名字,升级后的等级,,物品id,物品数量,货币单位,货币数量,增加属性的标准值
name_ks,level_kn,,itemid_n,itemnum_n,moneyunit_n,money_n,value_n
qianghua,1,,,,1,1000,7
qianghua,2,,,,1,3500,15
qianghua,3,,,,1,5900,22
qianghua,4,,,,1,8400,31
qianghua,5,,,,1,11000,39
qianghua,6,,,,1,14000,47
qianghua,7,,,,1,17100,55
qianghua,8,,,,1,20400,63
qianghua,9,,,,1,23900,71
qianghua,10,,,,1,27500,80
qianghua,11,,,,1,31300,89
qianghua,12,,,,1,35400,98
qianghua,13,,,,1,39700,107
qianghua,14,,,,1,44200,116
qianghua,15,,,,1,48900,125
qianghua,16,,,,1,53900,134
qianghua,17,,,,1,59200,143
qianghua,18,,,,1,64700,153
qianghua,19,,,,1,70500,163
qianghua,20,,,,1,76700,173
qianghua,21,,,,1,83200,183
qianghua,22,,,,1,90000,193
qianghua,23,,,,1,97200,203
qianghua,24,,,,1,104800,213
qianghua,25,,,,1,112800,224
qianghua,26,,,,1,121200,235
qianghua,27,,,,1,130100,246
qianghua,28,,,,1,139500,257
qianghua,29,,,,1,149400,268
qianghua,30,,,,1,159800,279
qianghua,31,,,,1,170800,291
qianghua,32,,,,1,182400,303
qianghua,33,,,,1,194600,315
qianghua,34,,,,1,207500,327
qianghua,35,,,,1,221000,339
qianghua,36,,,,1,235300,351
qianghua,37,,,,1,250300,364
qianghua,38,,,,1,266200,377
qianghua,39,,,,1,282900,390
qianghua,40,,,,1,300500,403
qianghua,41,,,,1,319100,416
qianghua,42,,,,1,338700,429
qianghua,43,,,,1,359300,443
qianghua,44,,,,1,381000,457
qianghua,45,,,,1,403900,471
qianghua,46,,,,1,428000,485
qianghua,47,,,,1,453400,499
qianghua,48,,,,1,480200,514
qianghua,49,,,,1,508500,529
qianghua,50,,,,1,538300,544
qianghua,51,,,,1,569700,559
qianghua,52,,,,1,602800,574
qianghua,53,,,,1,637700,590
qianghua,54,,,,1,674400,606
qianghua,55,,,,1,713100,622
qianghua,56,,,,1,753900,638
qianghua,57,,,,1,796900,655
qianghua,58,,,,1,842200,672
qianghua,59,,,,1,890000,689
qianghua,60,,,,1,940300,706
qianghua,61,,,,1,993300,724
qianghua,62,,,,1,1049200,742
qianghua,63,,,,1,1108100,760
qianghua,64,,,,1,1170200,778
qianghua,65,,,,1,1235600,797
qianghua,66,,,,1,1304600,816
qianghua,67,,,,1,1377300,835
qianghua,68,,,,1,1453900,854
qianghua,69,,,,1,1534600,874
qianghua,70,,,,1,1619700,894
qianghua,71,,,,1,1709400,914
qianghua,72,,,,1,1803900,934
qianghua,73,,,,1,1903500,955
qianghua,74,,,,1,2008500,976
qianghua,75,,,,1,2119100,997
qianghua,76,,,,1,2235700,1019
qianghua,77,,,,1,2358600,1041
qianghua,78,,,,1,2488100,1063
qianghua,79,,,,1,2624600,1086
qianghua,80,,,,1,2768400,1109
qianghua,81,,,,1,2920000,1132
qianghua,82,,,,1,3079800,1156
qianghua,83,,,,1,3248200,1180
qianghua,84,,,,1,3425700,1204
qianghua,85,,,,1,3612700,1229
qianghua,86,,,,1,3809800,1254
qianghua,87,,,,1,4017500,1279
qianghua,88,,,,1,4236400,1305
qianghua,89,,,,1,4467100,1331
qianghua,90,,,,1,4710300,1357
qianghua,91,,,,1,4966600,1384
qianghua,92,,,,1,5236700,1411
qianghua,93,,,,1,5521300,1438
qianghua,94,,,,1,5821300,1466
qianghua,95,,,,1,6137500,1494
qianghua,96,,,,1,6470700,1523
qianghua,97,,,,1,6821900,1552
qianghua,98,,,,1,7192000,1581
qianghua,99,,,,1,7582000,1611
qianghua,100,,,,1,7993100,1641
qianghua,101,,,,1,8426300,1672
qianghua,102,,,,1,8882900,1703
qianghua,103,,,,1,9364100,1735
qianghua,104,,,,1,9871200,1767
qianghua,105,,,,1,10405600,1799
qianghua,106,,,,1,10968800,1800
qianghua,107,,,,1,11562400,1801
qianghua,108,,,,1,12188000,1802
qianghua,109,,,,1,12847300,1803
qianghua,110,,,,1,13542200,1804
qianghua,111,,,,1,14274500,1805
qianghua,112,,,,1,15046300,1806
qianghua,113,,,,1,15859700,1807
qianghua,114,,,,1,16716900,1808
qianghua,115,,,,1,17620300,1809
qianghua,116,,,,1,18572400,1810
qianghua,117,,,,1,19575900,1811
qianghua,118,,,,1,20633500,1812
qianghua,119,,,,1,21748100,1813
qianghua,120,,,,1,22922700,1814
qianghua,121,,,,1,24160700,1815
qianghua,122,,,,1,25465400,1816
qianghua,123,,,,1,26840400,1817
qianghua,124,,,,1,28289500,1818
qianghua,125,,,,1,29816700,1819
qianghua,126,,,,1,31426300,1820
qianghua,127,,,,1,33122600,1821
qianghua,128,,,,1,34910400,1822
qianghua,129,,,,1,36794500,1823
qianghua,130,,,,1,38780200,1824
qianghua,131,,,,1,40872900,1825
qianghua,132,,,,1,43078400,1826
qianghua,133,,,,1,45402800,1827
qianghua,134,,,,1,47852500,1828
qianghua,135,,,,1,50434200,1829
qianghua,136,,,,1,53155100,1830
qianghua,137,,,,1,56022700,1831
qianghua,138,,,,1,59044800,1832
qianghua,139,,,,1,62229800,1833
qianghua,140,,,,1,65586500,1834
qianghua,141,,,,1,69124200,1835
qianghua,142,,,,1,72852500,1836
qianghua,143,,,,1,76781800,1837
qianghua,144,,,,1,80922900,1838
qianghua,145,,,,1,85287200,1839
qianghua,146,,,,1,89886800,1840
qianghua,147,,,,1,94734300,1841
