名字,宠物ID,宠物名,自动洗练技能需要扣什么货币,洗练物品ID,物品数量,价值多少,高级洗练物品ID,物品数量,,最多多少个技能,初始的技能列表,洗练星级1级时洗出来的库,2级洗练库,3级洗练库,4级洗练库,5级洗练库,6级洗练库,7级洗练库
Name_ks,EntryId_kn,Name_s,moneyunit_n,itemid_n,itemnum_n,money_n,highitemid_n,highitemnum_n,highmoney_n,MaxNum_n,SkillId_n,Random1_n,Random2_n,Random3_n,Random4_n,Random5_n,Random6_n,Random7_n
PetSkill,20001,忠勇兔,2,60005,1,100,60006,1,1000,1,"60120,",801,802,803,804,805,806,807
PetSkill,20002,粉红兔,2,60005,1,100,60006,1,1000,1,"60120,",801,802,803,804,805,806,807
PetSkill,20003,鲛人,2,60005,1,100,60006,1,1000,1,"60120,60008,",801,802,803,804,805,806,807
PetSkill,20004,狐妖,2,60005,1,100,60006,1,1000,2,"60078,60190,",801,802,803,804,805,806,807
PetSkill,20005,鱼精,2,60005,1,100,60006,1,1000,2,"60043,60155,",801,802,803,804,805,806,807
PetSkill,20006,树妖,2,60005,1,100,60006,1,1000,2,"60176,60148,",801,802,803,804,805,806,807
PetSkill,20007,鲨鱼精,2,60005,1,100,60006,1,1000,2,"60015,60022,",801,802,803,804,805,806,807
PetSkill,20008,棕熊,2,60005,1,100,60006,1,1000,2,"60008,60057,",801,802,803,804,805,806,807
PetSkill,20009,熊精,2,60005,1,100,60006,1,1000,3,"60022,60197,60015,",801,802,803,804,805,806,807
PetSkill,20010,小八戒,2,60005,1,100,60006,1,1000,3,"60099,60064,60050,",801,802,803,804,805,806,807
PetSkill,20011,小白虎,2,60005,1,100,60006,1,1000,3,"60064,60015,60183,",801,802,803,804,805,806,807
PetSkill,20012,剑邪,2,60005,1,100,60006,1,1000,3,"60078,60155,60036,",801,802,803,804,805,806,807
PetSkill,20013,重明鸟,2,60005,1,100,60006,1,1000,3,"60036,60204,60008,",801,802,803,804,805,806,807
PetSkill,20014,巨灵、,2,60005,1,100,60006,1,1000,4,"60197,60190,60022,60043,",801,802,803,804,805,806,807
PetSkill,20015,白熊精,2,60005,1,100,60006,1,1000,4,"60036,60148,60169,60022,",801,802,803,804,805,806,807
PetSkill,20016,九尾狐,2,60005,1,100,60006,1,1000,3,"60141,60148,60169,",801,802,803,804,805,806,807
PetSkill,20017,龙乌,2,60005,1,100,60006,1,1000,5,"60176,60197,60155,60057,60043,",801,802,803,804,805,806,807
PetSkill,20018,晶魂,2,60005,1,100,60006,1,1000,5,"60064,60183,60043,60155,60204,",801,802,803,804,805,806,807
PetSkill,20019,附魂,2,60005,1,100,60006,1,1000,5,"60022,60169,60148,60029,60190,",801,802,803,804,805,806,807
PetSkill,20020,黑风小妖,2,60005,1,100,60006,1,1000,5,"60036,60169,60148,60064,60176,",801,802,803,804,805,806,807
PetSkill,20021,熊猫,2,60005,1,100,60006,1,1000,5,"60211,60036,60050,60176,60190,",801,802,803,804,805,806,807
PetSkill,20022,黑水玄蛇,2,60005,1,100,60006,1,1000,5,"60106,60169,60204,60029,60148,",801,802,803,804,805,806,807
PetSkill,20023,火灵,2,60005,1,100,60006,1,1000,5,"60155,60176,60169,60029,60015,",801,802,803,804,805,806,807
PetSkill,20024,猿猴,2,60005,1,100,60006,1,1000,5,"60092,60148,60176,60050,60064,",801,802,803,804,805,806,807
PetSkill,20025,地狱三头犬,2,60005,1,100,60006,1,1000,5,"60050,60204,60183,60190,60218,",801,802,803,804,805,806,807
PetSkill,20026,星魔,2,60005,1,100,60006,1,1000,5,"60197,60064,60050,60190,60162,",801,802,803,804,805,806,807
PetSkill,20027,业魔,2,60005,1,100,60006,1,1000,5,"60162,60036,60183,60029,60148,",801,802,803,804,805,806,807
PetSkill,20028,龙象精,2,60005,1,100,60006,1,1000,5,"60176,60211,60057,60204,60029,",801,802,803,804,805,806,807
PetSkill,20029,白象精,2,60005,1,100,60006,1,1000,5,"60029,60155,60183,60008,60218,",801,802,803,804,805,806,807
PetSkill,20030,冰龙,2,60005,1,100,60006,1,1000,5,"60085,60022,60190,60218,60211,",801,802,803,804,805,806,807
PetSkill,20031,剑侠兔,2,60005,1,100,60006,1,1000,5,"60141,60057,60204,60197,60155,",801,802,803,804,805,806,807
PetSkill,20032,封蛇,2,60005,1,100,60006,1,1000,5,"60204,60169,60057,60211,60036,",801,802,803,804,805,806,807
PetSkill,20033,鬼武者,2,60005,1,100,60006,1,1000,5,"60071,60050,60211,60204,60008,",801,802,803,804,805,806,807
PetSkill,20034,黑风老妖,2,60005,1,100,60006,1,1000,5,"60148,60190,60015,60169,60211,",801,802,803,804,805,806,807
PetSkill,20035,招财猫,2,60005,1,100,60006,1,1000,5,"60057,60064,60197,60204,60155,",801,802,803,804,805,806,807
PetSkill,20036,酒仙,2,60005,1,100,60006,1,1000,5,"60197,60190,60162,60218,60169,",801,802,803,804,805,806,807
PetSkill,20037,狻猊,2,60005,1,100,60006,1,1000,5,"60071,60169,60148,60064,60022,",801,802,803,804,805,806,807
PetSkill,20038,水龙,2,60005,1,100,60006,1,1000,5,"60211,60204,60155,60183,60197,",801,802,803,804,805,806,807
PetSkill,20039,朱雀,2,60005,1,100,60006,1,1000,5,"60141,60176,60022,60155,60183,",801,802,803,804,805,806,807
PetSkill,20040,青龙,2,60005,1,100,60006,1,1000,5,"60043,60218,60183,60190,60204,",801,802,803,804,805,806,807
PetSkill,20041,白虎,2,60005,1,100,60006,1,1000,5,"60043,60155,60183,60211,60176,",801,802,803,804,805,806,807
PetSkill,20042,玄武,2,60005,1,100,60006,1,1000,6,"60162,60155,60176,60211,60029,60022,",801,802,803,804,805,806,807
PetSkill,20043,猪刚鬣,2,60005,1,100,60006,1,1000,6,"60148,60155,60064,60176,60162,60029,",801,802,803,804,805,806,807
PetSkill,20044,冰晶力士,2,60005,1,100,60006,1,1000,6,"60008,60211,60218,60043,60197,60148,",801,802,803,804,805,806,807
PetSkill,20045,独角魔猿,2,60005,1,100,60006,1,1000,6,"60148,60176,60050,60015,60169,60155,",801,802,803,804,805,806,807
PetSkill,20046,狮驼,2,60005,1,100,60006,1,1000,6,"60015,60036,60218,60155,60190,60204,",801,802,803,804,805,806,807
PetSkill,20047,鹿力大仙,2,60005,1,100,60006,1,1000,6,"60099,60197,60064,60015,60183,60176,",801,802,803,804,805,806,807
