#index,跳入地图id,跳入地图名,是不是公共地图,进入地图等级,跳入点X,跳入点Y,方向,开启跳转需要完成的任务ID 不填则直接开启,地图图标,图标位置,图标位置,图标宽,图标高
index_kn,inMapId_n,inMapName_s,public_n,level_n,inX_n,inY_n,direction_n,taskId,icon_s,iconX_n,iconY_n,iconW_n,iconH_n
1,50001,东海龙宫,1,1,47,27,1,,sjdt_icon01,36,292,162,158
2,50009,凌霄宝殿,1,10,41,38,1,1061,sjdt_icon02,76,64,152,126
3,50023,阴曹地府,1,20,56,43,1,1105,sjdt_icon03,228,142,161,133
4,50024,长安城,1,40,39,39,1,1167,sjdt_icon04,350,258,161,150
5,50019,五指山,1,50,46,28,1,2025,sjdt_icon05,416,66,179,128
6,50002,高老庄,1,60,47,46,1,2051,sjdt_icon06,570,194,159,135
7,50004,黄风岭,1,70,39,39,1,2093,sjdt_icon07,636,340,185,122
8,50010,流沙河,1,80,31,27,1,2135,sjdt_icon08,776,208,181,130
9,50020,五庄观,1,90,40,36,1,2201,sjdt_icon09,812,5,181,141
10,50003,花果山,1,100,50,37,1,2267,sjdt_icon10,982,176,188,139
11,50017,乌鸡国,1,110,32,50,1,2349,sjdt_icon11,1052,324,139,137
12,50006,火云洞,1,120,42,36,1,3061,sjdt_icon12,1236,234,163,141
13,50016,通天河,1,130,38,42,1,3141,sjdt_icon13,1170,40,173,134
14,50012,女儿国,1,140,35,45,1,3221,sjdt_icon14,1408,68,136,128
15,50013,琵琶洞,1,150,23,39,1,4057,sjdt_icon15,1460,274,172,143
16,50005,火焰山,1,160,39,28,1,4115,sjdt_icon16,1652,108,145,158
17,50021,小雷音寺,1,170,32,42,1,4177,sjdt_icon17,1704,318,172,136
18,50018,无底洞,1,180,42,41,1,4239,sjdt_icon18,1882,198,141,122
19,50025,蜘蛛洞,1,190,42,45,1,5033,sjdt_icon19,1854,44,161,134
20,50014,狮驼山,1,200,30,37,1,5067,sjdt_icon20,2090,124,137,122
21,50015,天竺,1,200,42,43,1,5103,sjdt_icon21,2106,266,176,151
22,50008,灵山,1,200,38,39,1,5139,sjdt_icon23,2344,324,187,136
23,50007,两界山,1,200,42,40,1,5181,sjdt_icon22,2352,162,160,122
24,50011,南天门,1,200,19,24,1,5223,sjdt_icon24,2558,58,181,131
25,50022,瑶池仙境,1,200,36,44,1,5275,sjdt_icon25,2596,226,186,129
