索引,说明,排名下限,排名上限,等级,组合随机抽取
index_kn,readme_c,levelLow,levelUp,level_t,queue_t
1,4500组,4500,7500,"1, 3","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
2,4000组,4000,4500,"3, 5","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
3,3500组,3500,4000,"3, 5","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
4,3000组,3000,3500,"6, 8","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
5,2500组,2500,3000,"8, 10","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
6,2000组,2000,2500,"11, 13","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
7,1500组,1500,2000,"13, 15","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
8,1000组,1000,1500,"15, 17","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
9,500组,500,1500,"18, 20","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
10,300组,300,500,"21, 23","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
11,100组,100,300,"23, 25","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
12,75组,75,100,"26, 27","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
13,50组,50,75,"27, 28","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
14,30组,30,50,"29, 30","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
15,20组,20,30,"31, 33","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
16,10组,10,20,"33, 35","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
17,5组,5,10,"36, 38","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
18,3组,3,5,"38, 40","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
19,1组,1,3,"40, 40","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
