索引,充值数量,奖励金钱,奖励水晶,奖励物品,奖励宠物,宠物预览,道具总价值,标记索引3131-3150
index_kn,recharge,funds,gold,item_t,petmod_n,pet_t,totall,recordKey
1,60,,,"{40010,100}",,,0,3131
2,300,,,"{50024,30}",,,0,3137
3,1000,,,"{40100,1}",,,0,3138
4,3000,,,"{40100,1}",,,0,3139
5,5000,,,"{40100,1}",,,0,3140
6,10000,,,"{40432,1}",,,0,3141
7,30000,,,"{40028,1}",,,0,3142
8,50000,,,"{40028,1}",,,0,3132
9,100000,,,"{40028,1}",,,0,3133
10,200000,,,"{40416,1}",,,0,3134
11,300000,,,"{40416,1}",,,0,3135
12,500000,,,"{40416,1}",,,0,3136
13,1000000,,,"{40416,1}",,,0,3143
