关卡ID,章节id,名称,怪物库,难度,需要玩家等级,经验奖励,关卡等级,遇多少次怪,,掉落库,三星通关时间,星级奖励,体力消耗,指定部下增加血量或怒气,增加奧義能量,关卡礼包npcEntryId,礼包有效期,容错
Id_kn,chapter_n,name_s,monster_t,diff_n,plrLevel,experience,stageLevel_n,autoFightNum_n,etype_t,equipLib,limitTime,starPrize_t,consumePower,addHpRp_t,addMp,giftNpcEntryId,giftLastTime,flag_c
1001,1001,东海龙宫1_1,"[9]=100109,[10]=100110,[11]=100111",1,1,45000,1,1,,,120,,0,,,,,0
1002,1001,东海龙宫1_2,"[9]=100209,[10]=100210,[11]=100211",1,1,107000,1,1,,,120,,0,,,,,0
1003,1001,东海龙宫1_3,"[9]=100309,[10]=100310,[11]=100311",1,1,170000,1,1,,,120,,0,,,,,0
1004,1001,东海龙宫1_4,"[9]=100409,[10]=100410,[11]=100411",1,1,236000,1,1,,,120,,0,,,,,0
1005,1001,东海龙宫1_5,[10]=100510,1,1,335000,1,1,,,120,,0,,,,,0
1006,1001,东海龙宫1_6,"[9]=100609,[10]=100610,[11]=100611",1,1,446000,1,1,,,120,,0,,,,,0
1007,1001,东海龙宫1_7,[10]=100710,1,1,530000,1,1,,,120,,0,,,,,0
1008,1001,东海龙宫1_8,"[9]=100809,[10]=100810,[11]=100811",1,1,618000,1,1,,,120,,0,,,,,0
1009,1001,东海龙宫1_9,"[9]=100909,[10]=100910,[11]=100911",1,1,708000,1,1,,,120,,0,,,,,0
1010,1001,东海龙宫1_10,[10]=101010,1,1,903000,1,1,,,120,,0,,,,,0
1011,1002,凌霄宝殿1_1,[10]=101110,1,10,510000,10,2,,,120,,0,,,,,0
1012,1002,凌霄宝殿1_2,[10]=101210,1,10,545000,10,2,,,120,,0,,,,,0
1013,1002,凌霄宝殿1_3,"[3]=101303,[4]=101304,[9]=101309,[10]=101310,[11]=101311",1,10,575000,10,2,,,120,,0,,,,,0
1014,1002,凌霄宝殿1_4,[10]=101410,1,10,605000,10,2,,,120,,0,,,,,0
1015,1002,凌霄宝殿1_5,"[3]=101503,[4]=101504,[9]=101509,[10]=101510,[11]=101511",1,10,636000,10,2,,,120,,0,,,,,0
1016,1002,凌霄宝殿1_6,"[3]=101603,[4]=101604,[9]=101609,[10]=101610,[11]=101611",1,10,668000,10,2,,,120,,0,,,,,0
1017,1002,凌霄宝殿1_7,"[3]=101703,[4]=101704,[9]=101709,[10]=101710,[11]=101711",1,10,700000,10,2,,,120,,0,,,,,0
1018,1002,凌霄宝殿1_8,"[3]=101803,[4]=101804,[9]=101809,[10]=101810,[11]=101811",1,10,732000,10,2,,,120,,0,,,,,0
1019,1002,凌霄宝殿1_9,"[3]=101903,[4]=101904,[9]=101909,[10]=101910,[11]=101911",1,10,765000,10,2,,,120,,0,,,,,0
1020,1002,凌霄宝殿1_10,"[3]=102003,[4]=102004,[9]=102009,[10]=102010,[11]=102011",1,10,798000,10,2,,,120,,0,,,,,0
1021,1003,凌霄宝殿2_1,"[3]=102103,[4]=102104,[9]=102109,[10]=102110,[11]=102111",1,10,1053000,10,2,,,120,,0,,,,,0
1022,1003,凌霄宝殿2_2,"[3]=102203,[4]=102204,[9]=102209,[10]=102210,[11]=102211",1,10,1096000,10,2,,,120,,0,,,,,0
1023,1003,凌霄宝殿2_3,[10]=102310,1,10,1140000,10,2,,,120,,0,,,,,0
1024,1003,凌霄宝殿2_4,[10]=102410,1,10,1185000,10,2,,,120,,0,,,,,0
1025,1003,凌霄宝殿2_5,"[3]=102503,[4]=102504,[9]=102509,[10]=102510,[11]=102511",1,10,1230000,10,2,,,120,,0,,,,,0
1026,1003,凌霄宝殿2_6,"[3]=102603,[4]=102604,[9]=102609,[10]=102610,[11]=102611",1,10,1275000,10,2,,,120,,0,,,,,0
