等级,生命,面板伤害,护甲,防御穿透,减免无视,命中值,闪避值,暴击值,抗暴值,暴击伤害,暴击伤害减免,出手速度,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力
index_kn,hp_n,attack_n,defence_n,chuanjia_n,chuanjiadec,hitrate,dodge,critrate,critratedec,critdamage_n,critdadec,speed_n,attinc,attdec,pvpattinc,pvpattdec,pveattinc,pveattdec,force
1,1,32.6,2.1,2.1,,5.25,5.25,3.5,3.5,2,0,0.25,,,,,,,1
2,1,142.6,2.136,2.136,,5.34,5.34,3.56,3.56,2,0,0.25,,,,,,,2
3,1,150.7,2.173,2.173,,5.432,5.432,3.621,3.621,2,0,0.25,,,,,,,3
4,1,388.9,2.21,2.21,,5.525,5.525,3.684,3.684,2,0,0.25,,,,,,,21
5,1,322,2.248,2.248,,5.621,5.621,3.747,3.747,2,0,0.25,,,,,,,17
6,1,353.8,2.287,2.287,,5.718,5.718,3.812,3.812,2,0,0.25,,,,,,,25
7,1,715.6,2.327,2.327,,5.818,5.818,3.878,3.878,2,0,0.25,,,,,,,111
8,1,767.3,2.368,2.368,,5.919,5.919,3.946,3.946,2,0,0.25,,,,,,,114
9,1,918.4,2.409,2.409,,6.022,6.022,4.015,4.015,2,0,0.25,,,,,,,140
10,1,932.2,2.451,2.451,,6.128,6.128,4.085,4.085,2,0,0.25,,,,,,,162
11,1,1013.9,2.494,2.494,,6.235,6.235,4.157,4.157,2,0,0.25,,,,,,,188
12,1,1025.8,2.538,2.538,,6.345,6.345,4.23,4.23,2,0,0.25,,,,,,,194
13,1,1073.4,2.583,2.583,,6.457,6.457,4.305,4.305,2,0,0.25,,,,,,,212
14,1,1122.3,2.628,2.628,,6.571,6.571,4.381,4.381,2,0,0.25,,,,,,,231
15,1,1023.6,2.675,2.675,,6.688,6.688,4.458,4.458,2,0,0.25,,,,,,,207
16,1,1434.7,2.723,2.723,,6.806,6.806,4.538,4.538,2,0,0.25,,,,,,,364
17,1,1484.3,2.771,2.771,,6.928,6.928,4.618,4.618,2,0,0.25,,,,,,,388
18,1,1890.6,2.82,2.82,,7.051,7.051,4.701,4.701,2,0,0.25,,,,,,,501
