索引,说明,库,物品ID,物品名称,权重,数量,品质,条件,修正增加权重
index_kn,readme_c,lib,item,name_c,weight,count,quality,condition_t,addWeight
1,军团副本1级王者英魂掉落,1000,30001,青苹果,300,1,100,"level={1,1}",
2,军团副本1级王者英魂掉落,1000,,空,700,,100,"level={1,1}",
3,军团副本2级王者英魂掉落,1000,30001,青苹果,400,1,100,"level={2,2}",
4,军团副本2级王者英魂掉落,1000,,空,600,,100,"level={2,2}",
5,军团副本3级王者英魂掉落,1000,30001,青苹果,500,1,100,"level={3,3}",
6,军团副本3级王者英魂掉落,1000,,空,500,,100,"level={3,3}",
7,军团副本4级王者英魂掉落,1000,30001,青苹果,600,1,100,"level={4,4}",
8,军团副本4级王者英魂掉落,1000,,空,400,,100,"level={4,4}",
9,军团副本5级王者英魂掉落,1000,30001,青苹果,600,1,100,"level={5,5}",
10,军团副本5级王者英魂掉落,1000,,空,400,,100,"level={5,5}",
11,军团副本6级王者英魂掉落,1000,30001,青苹果,700,1,100,"level={6,6}",
12,军团副本6级王者英魂掉落,1000,,空,300,,100,"level={6,6}",
13,军团副本7级王者英魂掉落,1000,30001,青苹果,800,1,100,"level={7,7}",
14,军团副本7级王者英魂掉落,1000,,空,200,,100,"level={7,7}",
15,军团副本8级王者英魂掉落,1000,30001,青苹果,800,1,100,"level={8,8}",
16,军团副本8级王者英魂掉落,1000,,空,200,,100,"level={8,8}",
17,军团副本9级王者英魂掉落,1000,30001,青苹果,1,1,100,"level={9,9}",
18,军团副本10级王者英魂掉落,1000,30001,青苹果,1,1,100,"level={10,10}",
19,军团副本11级王者英魂掉落,1000,30001,青苹果,550,2,100,"level={11,11}",
20,军团副本11级王者英魂掉落,1000,,空,450,,100,"level={11,11}",
21,军团副本12级王者英魂掉落,1000,30001,青苹果,600,2,100,"level={12,12}",
22,军团副本12级王者英魂掉落,1000,,空,400,,100,"level={12,12}",
23,军团副本13级王者英魂掉落,1000,30001,青苹果,600,2,100,"level={13,13}",
24,军团副本13级王者英魂掉落,1000,,空,400,,100,"level={13,13}",
25,军团副本14级王者英魂掉落,1000,30001,青苹果,650,2,100,"level={14,14}",
