索引,值,falg_c
index_ks,value_s,falg_c
WORLDBOSS_RANK,您在世界BOSS活动里取得了击杀伤害排名第%d奖励！,0
WORLDBOSS_KILL,您在世界BOSS活动里取得了最后一击的奖励！,0
EXCITE_LIMIT,恭喜您速战速决，在限定时间内通过了%s关卡，您可获得以下奖励。,0
EXCITE_FIRST,您在关卡中首次通过%s关卡，可获得以下奖励。,0
EXCITE_SERVER_FIRST,恭喜您在服务器里首个通过%s关卡，您可获得以下奖励，更快地通过后续关卡，说不定有更多惊喜哦~,0
EXCITE_SERVER_JJC,全服竞技场%d排名奖励,0
EXCITE_SERVER_SKYTOWER,恭喜您在服务器里首个通过海底逃生的%d层数，获得以下奖励。,0
JJC_PRIZE,您在竞技场的排名为%d，获得每日排名奖励：%d竞技积分，排名更高，获得奖励会更高哦~加油吧！,0
WORLDQUESTION_PRIZE,本次趣味答题已圆满结束，根据您考试结果分数给予您以下奖励，要再接再厉哦~,0
WUDOU_PRIZE,恭喜您在斗技大赛获得%s，大会向您派发%d斗技积分奖励。,0
RANK1,冠军,0
RANK2,亚军,0
RANK3,季军,0
RANK4,4强,0
RANK8,8强,0
RANK16,16强,0
RANK32,32强,0
RANK64,64强,0
RANK128,128强,0
MATCH2,季军、亚军、冠军,0
MATCH3,2强,0
MATCH4,4强,0
MATCH5,8强,0
MATCH6,16强,0
MATCH7,32强,0
MATCH8,64强,0
WUDOU_APPLY_NOTICE,您已报名参加斗技大赛单人赛，比赛将在星期二晚上8点开始，请记得上线参加比赛（比赛需手动战斗，不上线参加将以弃权处理）。,0
WUDOU_BET_PRIZE,您押注的玩家在斗技大赛中获得了冠军，获得%d晶石奖励。,0
FACTIONMAP_EXTRA,您在公会副本击杀%d个副本守卫，获得以下超额奖励。,0
FACTIONMAP_ALLOT,您获得了以下公会仓库的物品分配。,0
RELIC_MINE_FAILED_HAVE,您的商船在开采过程中被%s玩家攻击抢夺，只获得了部分资源。,0
RELIC_MINE_FAILED_NO,您的商船在开采过程中被%s玩家攻击抢夺，失去商船占领权。,0
RELIC_MINE_AUTO,您的商船已经圆满完成开采，获得全部的资源。,0
RELIC_MINE_LEAVE_HAVE,您撤离了商船，失去商船的占领权，获得了部分资源。,0
RELIC_MINE_LEAVE_NO,您撤离了商船，失去商船的占领权。,0
