,名称,模型,难度系数,等级,生命上限,面板物理攻击,防御,出手速度,暴击值,抗暴值,爆伤加成,闪避值,命中值,无视防御,减免无视,暴伤减免,伤害增加,伤害减少,PVP伤加,PVP伤减,PVE伤加,PVE伤减,技能列表,技能队列,头目,普通技能ID
id_kn,name_s,shape,diff,level,maxhp,attack,defence,speed,critrate,critratedec,critdamage,dodge,hitrate,chuanjia,chuanjiadec,critdadec,attinc,attdec,pvpattinc,pvpattdec,pveattinc,pveattdec,skilllist_t,skillqueue_t,boss,ordinaryskillId_n
100109,小乌龟,100001,0,1,4,33,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
100110,上官清,100031,0,1,53,56,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80031,"0,0,0,0",1,80031
100111,林妖,100014,0,1,4,33,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
100209,利刃猿,100028,0,1,8,65,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
100210,逸琼玄女,100032,0,1,103,108,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
100211,强盗,100002,0,1,8,65,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80002,"0,0,0,0",0,80002
100309,邪毒蜂,100018,0,1,10,85,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80018,"0,0,0,0",0,80018
100310,剑侠兔,20002,0,1,135,142,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50002,"0,0,0,0",1,50002
100311,炎魔,100017,0,1,10,85,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
100409,强盗,100002,0,1,14,116,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80002,"0,0,0,0",0,80002
100410,宠物剑邪,100030,0,1,184,194,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
100411,蝶精灵,100010,0,1,14,116,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
100510,混沌,100037,0,1,231,460,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80037,"0,0,0,0",1,80037
100609,瞌睡蛇,100020,0,1,16,132,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
100610,地域三头犬,20008,0,1,210,221,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80035,"0,0,0,0",1,80035
100611,硬壳龟,100027,0,1,16,132,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
100710,靡籁,100036,0,1,395,788,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
100809,冰火螳螂,100016,0,1,26,211,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
100810,黑水玄蛇,20010,0,1,335,352,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50006,"0,0,0,0",1,50006
100811,炎魔,100017,0,1,26,211,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
100909,炎魔,100017,0,1,27,213,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
100910,月光蝶,20005,0,1,338,355,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50003,"0,0,0,0",1,50003
100911,瞌睡蛇,100020,0,1,27,213,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
101010,混沌,100037,0,1,435,868,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80037,"0,0,0,0",1,80037
101110,魑,100041,0,10,645,1745,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
101210,靡籁,100036,0,10,603,1633,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
101303,瞌睡蛇,100020,0,10,51,408,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
101304,邪毒蜂,100018,0,10,51,408,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80018,"0,0,0,0",0,80018
101309,利刃猿,100028,0,10,51,408,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
101310,逸琼玄女,100032,0,10,648,680,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
101311,五毒蝎,100021,0,10,51,408,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
101410,魑,100041,0,10,846,2288,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
101503,魔爪花,100025,0,10,49,392,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
101504,瞌睡蛇,100020,0,10,49,392,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
101509,蚌精,100005,0,10,49,392,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
101510,云中子,100034,0,10,622,654,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80034,"0,0,0,0",1,80034
101511,蚌精,100005,0,10,49,392,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
101603,小僵尸,100019,0,10,52,416,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
101604,邪毒蜂,100018,0,10,52,416,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80018,"0,0,0,0",0,80018
101609,古树精,100013,0,10,52,416,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
101610,逸琼玄女,100032,0,10,659,693,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
101611,冰火螳螂,100016,0,10,52,416,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
101703,石狮,100007,0,10,54,428,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
101704,异面怪,100009,0,10,54,428,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
101709,林妖,100014,0,10,54,428,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
101710,云中子,100034,0,10,679,714,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80034,"0,0,0,0",1,80034
101711,小骷髅,100003,0,10,54,428,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
101803,灵猴,100023,0,10,56,446,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
101804,木鱼怪,100026,0,10,56,446,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80026,"0,0,0,0",0,80026
101809,硬壳龟,100027,0,10,56,446,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
101810,宠物剑邪,100030,0,10,708,743,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
101811,林妖,100014,0,10,56,446,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
