entryId,生命修正,物理伤害修正,护甲修正,防御穿透修正,减免无视,命中值修正,闪避值修正,暴击值修正,抗暴值修正,暴击伤害加成修正,暴击伤害减免修正,出手速度修正,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力修正
entryId_kn,hprevise,attrevise,defencerevise,chuanjiarevise,chuanjiadecrevise,hitraterevise,dodgerevise,critraterevise,critratedecrevise,critdamagerevise,critdadecrevise,speedrevise,attincrevise,attdecrevise,pvpattincrevise,pvpattdecrevise,pveattincrevise,pveattdecrevise,force
10001,20,0.941,25,0,,0,5,5,0,1,1,1,,,,,,,1
10002,20,0.889,40,0,,0,10,10,15,1,1,1,,,,,,,1
10003,20,0.889,40,0,,0,10,10,15,1,1,1,,,,,,,1
17001,20,0,0,0,,0,5,5,0,1,1,1,,,,,,,1
17002,20,0.738,10,25,,0,50,50,0,1,1,1,,,,,,,1
17003,20,0,20,0,,0,5,5,25,1,1,1,,,,,,,1
17004,20,0.64,100,0,,25,5,5,40,1,1,1,,,,,,,1
17005,20,0,5,0,,0,5,50,10,1,1,1,,,,,,,1
20001,20,0,50,0,,0,5,5,15,1,1,1,,,,,,,1
20002,20,0.722,25,50,,0,5,5,10,1,1,1,,,,,,,1
20003,20,0.688,75,0,,30,5,5,50,1,1,1,,,,,,,1
20004,20,0,25,0,,0,35,5,0,1,1,1,,,,,,,1
20005,20,0,15,0,,0,15,5,0,1,1,1,,,,,,,1
20006,20,0,15,0,,0,8,15,0,1,1,1,,,,,,,1
20007,20,1.014,35,30,,0,12,5,0,1,1,1,,,,,,,1
20008,20,0,10,0,,0,5,5,0,1,1,1,,,,,,,1
20009,20,0.565,75,0,,0,5,5,30,1,1,1,,,,,,,1
20010,20,0.8,40,0,,0,50,5,20,1,1,1,,,,,,,1
