索引,等级,组合随机抽取
index_kn,level_t,queue_t
1,"1, 3","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
2,"3, 5","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
3,"3, 5","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
4,"6, 8","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
5,"8, 10","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
6,"11, 13","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
7,"13, 15","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
8,"15, 17","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
9,"18, 20","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
10,"21, 23","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
11,"23, 25","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
12,"26, 27","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
13,"27, 28","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
14,"29, 30","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
15,"31, 33","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
16,"33, 35","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
17,"36, 38","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
18,"38, 40","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
19,"40, 1000","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
